id,巴西葡萄牙语
9315,Comunidade
9316,Cavando através do Mini World no modo jogador solo
9317,"Definir todas as mensagens para ""Lido""?"
9318,No @1 modo multi jogador (@2)
9319,"Seu amigo está no modo Jogador Solo, não pode acompanhar a sala com vários participantes."
9320,"Por favor, aguarde @1 segundos e tente atualizar"
9321,Jogou juntos no #cfa7a0f@1 Sala do Multi Jogador
9322,A lista de amigos mais recente está vazia
9323,Você tem certeza de colocar o jogador na lista negra?
9324,Lista negra está cheia
9325,Lista negra
9326,Recentes
9327,Você tem que compartilhar o mapa na galeria para compartilhar com os outros
9328,Verificar
9329,Lista negra está vazia
9330,Permitir rastreamento
9331,Este jogador não permite que amigos o sigam
9332,Mais
9333,"Por favor, espere @1 segundo e tente convidar novamente"
9334,Ao redor
9335,Convidar outros jogadores
9336,"Mini World, traz criatividade infinita"
9337,Seu amigo@1(@2) convida você a criar juntos no Mini World!
9338,Postar no status
9339,Arquivo atualizado @1
9340,Derrote o Chefe @1 vez no modo de sobrevivência
9341,Tesouros misteriosos @1 vez no sobreviv.
9342,Sobreviva @1 dia no modo extremo
9343,Venca o Monstro Chefe no modo extremo @1 vez
9344,Recebeu recompensas de eventos do jogo @1 vez
9345,Crie Popular ou mapas em destaque @1 vez
9346,O conhecedor chegou ao Nv.@1
9347,O número de amigos alcançou @1
9348,O número de fãs atingiu @1
9349,Obter @1 Curtir no meu status
9350,Regando Plantas @1 vez
9351,Desparasitação @1 vez
9352,Desbloquear @1 Coletar
9353,Colher @1 fruta
9354,Jardim atingiu Nv. @1
9355,O número de caracteres atingiu @1
9356,O talento do personagem chegou ao nível 1
9357,Desbloquear @1 skin permanente
9358,Desbloquear @1 montaria
9359,Desbloquear @1 avatar permanente personalizado
9360,Concluiu a verificação de identidade
9361,Login contínuo atingiu @1 dia
9362,Caçador Mob
9363,Caçador Tesouros
9364,Mestre Sobreviv.
9365,Deus da Guerra
9366,Presentes Misteriosos
9367,Mestre de Mapas
9368,Conhecedor 
9369,Amigos Felizes
9370,Super Estrela
9371,Celebridade
9372,Jardineiro Verde
9373,Matador de Verme
9374,Colecionador 
9375,Colheita Grande
9376,Prosperando
9377,Montaria Completa
9378,Súper Genio 
9379,Transformação
9380,Domesticador
9381,Armario Mágico
9382,Quem sou eu?
9383,Login Diario
9384,Defensor do Golpe
9385,Mini Aula Completa sobre Lição Anti-Golpe
9500,Meu
9501,Favoritos/História
9502,Mini Cloud
9503,Servidor de Aluguel
9504,Selecione o mapa salvo
9505,Configuração
9506,Gerenciamento de Jogadores
9507,Gerenciamento de backups
9508,Status do servidor
9509,Reiniciar Servidor
9510,Melhoria
9511,ID do Servidor
9512,Histórico de Login
9513,Básico
9514,Avançado
9515,Mais
9516,Prêmio
9517,Capacidade máxima: 6 pessoas#rAdequado para mapas em modo normal e modo de desenvolvedor
9518,Capacidade máxima: 10 pessoas#rAdequado para mapas em modo normal e modo de desenvolvedor
9519,Capacidade máxima: 20 pessoas#rAdequado para mapas em modo normal e modo de desenvolvedor
9520,Capacidade máxima: 30 pessoas#rAdequado para mapas em modo normal e modo de desenvolvedor
9521,#L[Privacidade Mini Cloud&Termos]#n
9522,Aluguel Mini Cloud
9523,Auto-Renovação
9524,"Após a marcação, considera-se que autoriza o [Mini Cloud] a deduzir automaticamente a mini moeda correspondente para renovação por um mês antes da data de vencimento."
9525,Duração
9526,@1 dia
9527,Função de compra não está disponível agora.
9528,"Você está na lista negra, não pode ingressar neste servidor."
9529,"Desculpe, você não pode ingressar no servidor. Peça autoridade ao proprietário do servidor."
9530,Total:
9531,Comprar
9532,Não renovar
9533,Atualização: #cda5b0a@1#n (restante em 2 dias)
9534,"Renovar: #cda5b0a@1#n(Após a compra, o restante @2 Dias)"
9535,#c0aaa0f@1×@2#n
9536,Verifique e concorde com o [Termos & Privacidade Mini Cloud] primeiro
9537,Construir Mini Cloud
9538,Disponível apenas para amigos
9539,Disponível apenas para lista de permissões
9540,Sucesso no servidor de compras. Selecione o mapa salvo para criar o servidor.
9541,"Servidor de atualização precisa fechar seu servidor temporariamente; após a atualização, ele será aberto automaticamente."
9542,Fechar servidor expulsará todos os jogadores! #cef2d2d@1#n jogadores estão no servidor agora.
9543,Fechar e atualizar
9544,Fechar mais tarde
9545,Sucesso na atualização! O servidor foi aberto.
9546,Servidor fechado
9547,Manutenção do servidor
9548,Servidor foi compilado com sucesso. Abrir o servidor agora? (Aberto para reproduzir no Mini Cloud)
9549,Configuração do servidor
9550,Status
9551,Lista de permissões
9552,Jogando no Mini Cloud
9553,Admin
9554,Definir como lista de permissões
9555,Definir como lista negra
9556,Definir como administrador (ALL)
9557,Definir como administrador
9558,Sair da lista negra
9559,Adicionar à lista negra
9560,Importar dados
9561,Mover lista de permissões
9562,Adicionar de amigos
9563,administrador (Super)
9564,administrador
9565,Limpar todos ADM
9566,Limpar todos (S) ADM
9567,Procurar UID
9568,"Adicionado com falha, @1 alcancou o limite"
9569,Cancelar Autoridade
9570,Administradores (Super) têm as seguintes permissões:
9571,Administradores têm as seguintes permissões:
9572,#c0aaa1a esta usando
9573,Espaço utilizado: #cfa7a0f@1#n/@2
9574,Comprar espaço
9575,#LStatus do Servidor
9576,#LManutenção
9577,Aviso do servidor
9578,Importe os dados do Mini Cloud como abaixo:
9579,Comprar espaço armazenamento
9580,Selecione o tipo de espaço de armazenamento
9581,Adicionar todo
9582,Lista negra Privada
9583,As gravações de backup estão cheias. Limpe as gravações antes de operar
9584,Não há espaço suficiente no seu Mini Cloud. Compre espaço ou exclua o backup.
9585,"Após fechar o servidor, #cfa7a0f o servidor para de funcionar e nenhum jogador pode participar. #n operações disponíveis durante o status fechado: o backup salva, restaura o backup, atualiza e reset o servidor."
9586,"Depois de clicar em [Manutenção], #cfa7a0f o servidor ainda funciona, mas não para o público. #n Todos os jogadores normais no servidor serão expulsos, apenas Administradores/(TODOS) podem entrar no servidor, jogadores regulares precisam ser convidados para entrar."
9587,"Manter as necessidades do Mini Cloud expulsa todos os jogadores, exceto Administradores (TODOS)! tem #cef2d2d@1 jogador no servidor agora."
9588,Solicitar apenas uma vez
9589,Postar
9590,Mini Cloud expirou
9591,"Mini Cloud expirado, renove."
9592,Feche o servidor antes de operar.
9593,"O Mini Cloud foi fechado, os jogadores não podem entrar."
9594,"O Mini Cloud está em Manutenção, os jogadores não podem entrar."
9595,Iniciar o Mini Cloud agora?
9596,Renove o servidor
9597,Reset Mini Cloud (Irreversivel)#cef2d2d Limpe todas as gravações de backup e informações de configuração.#n seja cuidadoso.
9598,"Salvar redução (irreversível)#cef2d2d Substitua o salvamento atual, #n Por favor, seja cuidadoso."
9599,"A gravação neste Mini Cloud é ilegal, redefina o servidor e use outras gravações para compilar."
9600,"Caros jogadores: #r deduziremos @3 Mini Moedas em @1.@2(MM/DD) renovar seu Mini Cloud(@4).  Após a dedução bem-sucedida, o período de validade do Mini Cloud será estendido por 30 dias. Para cancelar a função de renovação automática, acesse a página de atualização de renovação do Mini Cloud para cancelá-la.#r (From: Mini Capitao) "
9601,"Caros jogadores: Seu Mini Cloud(@1) foi renovado com sucesso e o período de validade foi estendido para @2.@3 (MM/DD). Obrigado por seu apoio e divirta-se com o Mini World.
  #r (From: Mini Capitao) "
9602,"Caros jogadores: #r O saldo da sua conta não é suficiente e não pode ser renovado automaticamente. O Mini Cloud fechará automaticamente quando expirar em @1.@2 (MM/DD). Se necessário, renove o Mini Cloud manualmente após recarregar. #r (From: Mini Capitao)"
9603,"Caros jogadores: #r O uso do seu espaço de armazenamento excedeu @1. Quando o uso do espaço atingir 100%, o jogo não funcionará corretamente. #nVocê pode optar por comprar espaço de armazenamento ou excluir as salvaguardas de backup para reduzir o uso do espaço de armazenamento. #r (From: Mini Capitao)"
9604,"Querido Jogador: #r Seu Mini Cloud expirou e o servidor cloud foi fechado automaticamente. Se você quiser continuar usando o Mini Cloud, acesse a interface relevante para renovar o Mini Cloud. #r (From: Mini Capitão)"
9605,"Querido Jogador: #r Servidor Mini Cloud que você tem irá expirar em @2.@3 (dd/mm), e o servidor mini cloud será fechado automaticamente após a expiração. Se você precisar continuar a usar o serviço do servidor mini cloud, entre no servidor mini cloud interface de atualização de renovação e comprar a renovação. #r (From: Mini Capitão)"
9606,Manutenção
9607,Construa o servidor antes de operar.
9608,Dano bloco
9609,Colocar Bloco
9610,Pegar item
9611,Atacar Jogador 
9612,Usar item
9613,"
Permissões do jogo "
9614,Renove com sucesso
9615,Backup do servidor
9616,Servidor está cheio
9617,Período de validade do Mini Servidor é superior a 180 dias
9618,"Erro, tente novamente."
9619,Jogador está na lista de permissões
9620,Jogador está na lista negra
9621,Jogador excluído
9622,A cota de administradores (super) está cheia
9623,A cota de administradores está cheia
9624,Erro nos dados do servidor
9625,O jogador saiu do servidor.
9626,"Servidor está consumindo tempo, tempo restante @1"
9627,Este jogador é o administrador do servidor. O administrador será cancelado depois de adicionar à lista negra.
9628,"Erro ao carregar mapas, redefina o servidor e tente novamente."
9629,"Erro de backup, tente novamente."
9630,"Redefinir erro da sala, entre em contato com o atendimento ao cliente para obter ajuda."
9631,Você não possui este Mini Servidor
9632,Você atingiu o número máximo de Mini Servidores.
9633,Servidor de compra ou atualização falhou.
9634,informação do servidor
9635,Lista de servidores
9636,Configuração do servidor
9637,Expulsar do servidor
9638,Você confirma a exclusão do salvamento de backup?
9639,Sua permissão de jogo: @1 foi cancelado; peça ao proprietário ou administrador do servidor (Super).
9640,Proprietário/administrador do servidor (Super) cancelou sua permissão de jogo: @1
9641,Proprietário/administrador do servidor (Super) atribui a permissão (@1) para voce
9642,Você se tornou o @1 do Mini Servidor
9643,Permissões do jogo: @1(Off)
9644,Permissões do jogo: @1(On)
9645,Salvamento em Uso
9646,"Mini Servidor está disponível apenas para amigos do proprietário. Por favor, adicione o proprietário do servidor como amigo para participar."
9647,@1's Mini Cloud
9648,Digite o aviso
9649,Instruções básicas de configuração
9650,"#cfa7a0fNome do Servidor: #n
  O nome deste Mini Servidor aparece na sala Multijogador.
#cfa7a0fIntrodução: #n
  A introdução do Mini Servidor pode ser verificada na introdução detalhada da sala multijogador.
 #cfa7a0fSenha: #n
  Após definir a senha, o jogador deve digitar a senha correta para entrar no servidor (o proprietário, o administrador e os moderadores não precisam da senha.
 #cfa7a0fPermissões: #n
  Especial para amigos: apenas os amigos do proprietário do servidor podem acessar o servidor.
  Especial para a Lista de Permissões: Somente jogadores na lista de Permissões do Servidor podem entrar no servidor.
  Nota: Se [Especial para amigos] e [Especial para lista de permissões] estiverem selecionados, amigos e jogadores na lista de permissões poderão entrar no servidor. Se você não clicar em nenhuma opção, todos os jogadores poderão entrar neste servidor.

#cfa7a0fSalvar:#n
As alterações feitas para aplicar as configurações devem ser salvas."
9651,Instruções Config. do Jogador
9652,"#cfa7a0f Jogador: #n
A lista de jogadores registra os jogadores que entraram neste servidor e exibe o último horário ou status de login do jogador (clique no botão Configuração para definir)
#cfa7a0f Lista de Permissões: #n
Somente jogadores na lista de permissões podem entrar neste servidor quando você seleciona [Lista de permissões disponíveis] nas permissões de configuração básicas do gerenciamento de servidores.
Clique em [Convidar amigos] para abrir a lista de amigos e adicionar amigos à lista de permissoes. Os dados de cópia são usados para sincronizar convenientemente os dados da lista de vários servidores. A limpeza de uma tecla excluirá todos os jogadores da lista.
#cfa7a0f Lista negra: #n
Jogadores na lista negra não podem entrar neste servidor.
Clique em [Adicionar lista negra] para abrir a lista negra pessoal do proprietário do servidor e adicione o jogador à lista negra do servidor.
#cfa7a0f Admin: #n
Proprietário do servidor pode definir o reprodutor como administrador (Normal ou Super), e os administradores podem usar apenas suas permissões no servidor (para obter detalhes, consulte [Administrador Super] [Administrador]).
#cfa7a0f Procurar: #n
Digite um UID e clique em pesquisar. O UID será exibido na lista."
9653,Instruções Config. de backup
9654,"#cfa7a0f Salvo Atual: #n
  O salvamento em primeiro lugar é o salvamento atual em uso pelo servidor.
  Clique na configuração para fazer backup do salvamento (a operação de backup precisa fechar o servidor antes de operar).
#cfa7a0f Salvamentos de backup: #n
  Existem quatro slots de salvamento de backup (excluindo o salvamento atual). Quando você cria o servidor, o mapa carregado é automaticamente copiado. Os slots restantes precisam ser copiados manualmente pelo proprietário.
  Clique na configuração para restaurar, baixar, renomear e excluir.

Restaurar: sobrescreva o backup para o salvamento atual (esta operação precisa do status do servidor: fechar); 
Download: faça o download do backup para os salvamentos locais;
Renomear: modifique o nome do backup salvo;
Excluir: exclua esse backup e remova da lista.

#cfa7a0f Expansão: #n
  O espaço de armazenamento de cada servidor é limitado. Quando o uso do espaço atinge 100%, os jogadores não podem jogar no servidor. Os proprietários do servidor podem optar por adquirir o plano de espaço de armazenamento ou excluir as economias de backup para reduzir o uso do espaço de armazenamento.

#cfa7a0f Carregar: #n
Você pode selecionar um mapa local para salvá-lo e carregá-lo no backup do serviço Mini. Após o upload bem-sucedido, você pode operar o backup."
9655,Instruções Config. de Status
9656," #cfa7a0f Status do servidor: #n
  Mini Servidor tem dois status: On/Off (clique no botão alternar para alternar o estado).
  Ativado: o servidor está funcionando normalmente e os jogadores podem participar (Excluindo status de manutenção);
   Desligado: o servidor para de funcionar e todos os jogadores não podem entrar. Quando o status do servidor está desativado, você pode operar as seguintes opções: Fazer backup, Restaurar, Atualizar servidor e Redefinir servidor.
#cfa7a0f Status de manutenção: #n
 O status de manutenção pode ser definido quando o servidor estiver executando apenas.
   Normal: O servidor está funcionando normalmente e os jogadores podem entrar de acordo com as condições (Condições: Senha nas configurações básicas, amigos disponíveis, lista de permissões disponíveis e lista negra indisponível);
   Manutenção: O servidor em manutenção. Outros jogadores serão removidos do servidor, exceto o proprietário e os administradores do servidor. O proprietário pode convidar outros jogadores para ingressar no servidor de manutenção.
#cfa7a0f Aviso do servidor: #n
  O proprietário do servidor e os Administradores (Super) podem postar três avisos por dia para cada servidor. Após a publicação, todos os jogadores no servidor serão notificados imediatamente. (Selecione [Solicitar apenas uma vez] o anúncio aparece apenas uma vez e você não o receberá novamente quando entrar no servidor.) Ou esse anúncio será exibido toda vez que você entrar no servidor.  "
9657,#L Instruções de Permissões#n
9658,"#cfa7a0f Regras de operação de permissões #n
O proprietário pode definir permissões individuais para todos os jogadores e permissões para todo o jogo (Tudo) do servidor.
O Administrador (Super) pode definir as permissões individuais de todos os jogadores e as permissões de todos os jogos (Todos) do Servidor, exceto o proprietário do servidor e outros Administradores.
Outros jogadores podem visualizar suas permissões de jogo individuais e permissões de jogo inteiro (Tudo), mas não podem ajustá-las.
#cfa7a0f Permissões de jogo individuais e permissões de jogo (todas) #n
Quando as permissões do jogo dos jogadores não são alteradas (o botão de permissões do jogo é azul), o jogador usará as permissões do jogo (Tudo). 
Quando as permissões do jogo do jogador são alteradas (o botão de permissões do jogo fica amarelo), o jogador usa permissões individuais do jogo e não é afetado pelas permissões do jogo (Tudo).
#cfa7a0f Como restaurar as permissões individuais de um jogador #n
Proprietário ou administrador do servidor (Super), clique no ícone de restauração ao lado das permissões de jogo do jogador. O botão [Permissões do jogo] dos jogadores volta a azul do amarelo) e o jogador usará as Permissões do jogo (todas)."
9659,Restaure as permissões do jogador com sucesso. Todas as permissões são redefinidas como Permissões do jogo (Todas).
9660,Permissões do Jogo (todas)
9661,"Quando as permissões de jogo do jogador não são alteradas (o botão de permissões de jogo do jogador é azul), o jogador usará as permissões de jogo (Tudo).
Quando as permissões de jogo do jogador são alteradas (o botão de permissões de jogo do jogador fica amarelo), o jogador usa permissões de jogo individuais e não é afetado pelas permissões de jogo (Tudo)."
9662,Bloco de Dano（#c0aaa1aOn#n）
9663,Bloco de Dano（#cef2d2dOff#n）
9664,Colocar Bloco（#c0aaa1aOn#n）
9665,Colocar Bloco（#cef2d2dOff#n）
9666,Pegar Item（#c0aaa1aOn#n）
9667,Pegar Item（#cef2d2dOff#n）
9668,Usar Item（#c0aaa1aOn#n）
9669,Usar Item（#cef2d2dOff#n）
9670,Atacar Jogador（#c0aaa1aOn#n）
9671,Atacar Jogador（#cef2d2dOff#n）
9672,Atacar Criatura（#c0aaa1aOn#n）
9673,Atacar Criatura（#cef2d2dOff#n）
9674,Atacar Criaturas
9675,Configuração foi alterada. Confirmar para salvar?
9676,#cfa7a0f【@1】@2#n expulsar @3#cfa7a0f da sala.
9677,Administrador baniu o item.
9678,#cfa7a0fProprietário(#n fechou o servidor. Rede desconectada.
9679,Servidor fechado. Rede desconectada.
9680,Renovar
9681,Total
9682,"Desculpe, o servidor não pode degradar"
9683,Selecione o tipo de atualização ou plano de renovação
9684,Chat em toda a sala banido (Ativado): não é possível enviar mensagens
9685,"Desculpe, o servidor atingiu o limite de avisos."
9686,Você foi removido do servidor @1
9687,Proprietário
9688,Você foi banido do bate-papo.
9689,Você está habilitado para enviar a mensagem.
9690,Descrição das Permissões
9691,Não há lista negra
9692,#cffffff——————◆◆ ◇ ◆◆——————#n#r#cfa7a0f【Noticias】@1：#n#c5aea0a@2#n#r#cfa7a0f【@3】@4@5#n#r#cffffff——————◆◆ ◇ ◆◆——————
9693,Seu título @1 no server foi cancelado
9694,@1 do Mini Servidor cobrirá seu salvamento local atual (não o servidor em nuvem)#r#cef2d2d(Você perderá suas economias locais após cobrir)
9695,Criar backup do Mini Servidor
9696,Cópia de backup baixada com sucesso. Verifique no seu arquivo ou servidor salvo nas nuvens correspondentes.
9697,Verificar
9698,Você não possui nenhum Mini Servidor.
9699,"Jogador está na lista negra, não pode ser definido como Admin"
9700,Este backup de: @1
9701,Limite de favoritos foi atingido
9702,Você confirma para usar o Backup [@1] para cobrir o arquivo atual?#r#r#cef2d2d (Atenção! A operação é irreversível)
9703,Capacidade de backup (@1/@2)
9704,Carregar server Backup
9705,Selecionar local para salvar a carregar
9706,Atual
9707,Carregou com Sucesso
9708,Add falhou
9709,Expansão
9710,Proprietário:
9711,Backup está cheio. Exclua e tente novamente.
9712,Download
9713,Save é do Mini Servidor: @1
9714,Permissões do jogo (#c0aaa1a Livre#n)
9715,Permissões do jogo (#c0aaa1a Convidado#n)
9716,"#cfa7a0f Regras de operação do administrador #n
O proprietário pode definir permissões individuais para todos os jogadores e permissões para todo o jogo (Tudo) da Sala.
O administrador (Super) pode definir as permissões individuais de todos os jogadores e as permissões do jogo inteiro (todas) da sala, exceto o proprietário do servidor e outros administradores.
Outros jogadores podem visualizar suas permissões de jogo individuais e permissões de jogo inteiro (Tudo), mas não podem ajustá-las.
#cfa7a0f Permissões de jogo individuais e permissões de jogo (todas) #n
Quando as permissões do jogo dos jogadores não são alteradas (o botão de permissões do jogo é azul), o jogador usará as permissões do jogo (Tudo).
Quando as permissões do jogo dos jogadores são alteradas (o botão de permissões do jogo fica amarelo), o jogador usa permissões individuais do jogo e não é afetado pelas permissões do jogo (Tudo).
#cfa7a0f Como restaurar as permissões individuais de um jogador #n
Proprietário da sala, clique no ícone de restauração ao lado das permissões do jogo do jogador. O botão [Permissões do jogo] dos jogadores volta a azul do amarelo) e o jogador usará as Permissões do jogo (todas)."
9717,Solicitar Permissões
9718,Sua permissão está desabilitada: @1
9719,Sua permissão está habilitada: @1
9720,Sua permissão: @1 está desabilitado. Peça permissão ao host
9721,Desativar permissão de voz
9722,Permissão de voz desativada
9723,Escuta Bloqueada
9724,Mensagem Bloqueada
9725,Sua permissão de jogo: @1 foi banido
9726,"1. Adicionar lista negra
2. Expulsar jogador do servidor
3. Definir permissões (todas e privadas)
4. Definir item banido
5. Definir equipe
6. Editar aviso
7. Banir chat
8. Ligar/desligar bate-papo por voz
9. Ligar/desligar o Microfone
10. Ligar/desligar o alto-falante"
9727,"1. Adicionar lista negra
2. Expulsar o jogador do servidor
3. Definir equipe
4. Proibir bate-papo
5. Ligar/desligar o bate-papo por voz
6. Ligar/desligar o Micphone
7. Ligar/desligar o alto-falante"
9728,Notificação de Mini Cloud
9729,Atualizar
9730,Confirmar
9731,Mini Servidor #c0aaa1a@1#n     (Versão Atual@2@3#n)
9732,Auto Atualização
9733,Atualizar Mini Servidor selecionado?
9734,#cef2d2dNota: Sua versão do jogo é muito baixa. Atualize para a versão mais recente para entrar no Mini Servidor.#n
9735,"Atualização Automática: Depois que a nova versão for lançada, o oficial atualizará a versão do Mini Servidor (o horário específico será notificado no dia da atualização)"
9736,É a versão mais recente
9737,Reiniciar
9738,"Se você reiniciar o Mini Servidor, todos os jogadores serão expulsos! Agora #cef2d2d@1#n jogadores estão neste servidor"
9739,Nota!#cfa7a0fMini Servidor está prestes a desligar#n
9740,Nota!#cfa7a0fMini Servidor está prestes a reiniciar#n
9741,Nota!#cfa7a0fMini Servidor está prestes a reiniciar e atualizar#n
9742,#cef2d2d@1#n Jogador banido do chat por 5 minutos
9743,@1 devolve sua permissão
9744,@1 defina que o spam será banido automaticamente(@2@3#n)
9745,Host
9746,Você tem todas as permissões de jogo agora
9747,Fechar depois @1 segundo
9748,Reinicie após @1 segundo
9749,Mini Servidor está fechando. Tente novamente após atualizar
9750,Estado Mini Servidor:
9751,Aberto
9752,Fechando
9753,Fechar
9754,Membros:
9755,Tempo restante:
9756,Criando tempo:
9757,#LConfiguração Estado
9758,Desc. Atualização 
9759,"1. Somente o Mini Servidor de baixo nível fechado que não expirou pode ser atualizado.
2. Se o Mini Servidor não estiver fechado, acesse o status da configuração do Mini Servidor e feche o Mini Servidor antes de atualizar.
3. Se o Mini Servidor expirou, atualize após a renovação.
4. Mini Servidor só pode ser atualizado, mas não revertido."
9760,"Falha ao importar dados, excedendo o número máximo de pessoas"
9761,"@1 Mini Servidor atualizado!
Abra o Mini Servidor agora?"
9762,@1 Mini Servidor aberto com sucesso
9763,Não há dados a serem importados no Mini Servidor selecionado. Confirme e tente novamente
9764,Mini Servidor iniciando. Tente novamente mais tarde
9765,Falha na importação. O que importamos para a lista negra já existe na lista de permissões.
9766,Falha na importação. O que você importa já existe na lista negra atual.
9767,Atualize Servidor
9768,"Backups salvos estão cheios, exclua alguns"
9769,Tem certeza de que deseja cancelar a renovação?
9770,Compartilhar link
9771,"Link copiado, compartilhe"
9772,Selecione o Mini Servidor que precisa ser atualizado
9773,O número de mini servidores atingiu o limite superior. Não é possível aplicar e comprar
9774,@Null@
9775,Relatório
9776,Carregue a Captura de Tela
9777,Captura de tela foi tirada com sucesso.
9778,Para ser modificado
9779,Apelação
9780,"Mini Servidor ilegal será alterado para #cDA5B0APara ser modificado#n status.
Você pode alterar o mapa e as informações do Mini Servidor quando ele for modificado. Se não houver conteúdo ilegal, você pode apelar. O status de violação será cancelado até que o recurso seja aprovado."
9781,Apelo
9782,"1. Antes de recorrer, certifique-se de que não há conteúdo ilegal nos mapas do Mini Servidor. E leia o #L#cDA5B0AInstruções de conteúdo#n cuidadosamente
2. Depois de enviar seu recurso, aguarde até que ele seja aprovado.
3. Se a apelação não for aprovada, ela retornará ao status para ser modificado."
9783,"Aviso: Se o seu Mini Servidor foi denunciado por violação por muitas vezes, ele pode não fornecer o Mini Servico para sua conta. Se o caso for sério, sua conta será bloqueada."
9784,"Leia as ""Instruções de Conteúdo"" primeiro"
9785,"O tempo restante do Mini Servidor, para o qual você apela, deve ser superior a 5 dias"
9786,É impossível fazer qualquer operação no Mini Servidor durante a apelação. Espere pelo resultado pacientemente
9787,Você pode abrir o Mini Servidor ilegal
9788,O anúncio foi considerado ilegal. A função está banida por @1 days
9789,Seu bate-papo foi considerado ilegal. A função está banida por @1 days
9790,Será visível após a aprovação do nome e introdução do Mini Servidor
9791,O número de modificações atingiu o limite superior
9792,Preencha os motivos do recurso antes de enviar
9793,"Leia atentamente as ""Instruções de conteúdo"" e preencha os motivos do recurso antes de enviar"
9794,Insira o motivo do recurso (12 a 60 caracteres)
9795,Recurso enviado com sucesso
9796,O que você quer denunciar?
9797,Jogador
9798,Voz do Jogador
9799,Envio falhou
9800,Passe atual expirou. Não é possível entrar na sala!
9801,Nome e a introdução do Mini Servidor não foram aprovados na revisão
9802,"Como seu chat foi denunciado como uma violação, a função está permanentemente desativada"
9803,"Como seu Mini Servidor foi denunciado como uma violação, a função está permanentemente desativada"
9804,Denunciar a Sala
9805,Nome e a introdução do Mini Servidor só podem ser modificados após aprovação.
9806,Anúncio do Mini Servidor foi relatado várias vezes. Não é possível editar agora. Aguarde o resultado da revisão
9807,Mapa Ilegal. Não é possível abrir o servidor.
9808,Este mapa é de criação secundária. Você não pode criar o Mini Cloud.
9809,Criação de vários servidores
9810,Processamento em lote
9811,Todos os servidores
9812,Carregando
9813,Sem mapa
9814,Expirado
9815,Confirme a execução
9816,Escolha uma operação
9817,Servidor aberto
9818,Fechar servidor
9819,Reiniciar Servidor
9820,Servidor de atualização
9821,Carregar mapa
9822,Selecione o servidor para processamento em lote
9823,Não há servidor que possa ser aberto
9824,Não há servidor que possa ser fechado
9825,"Desligue #cfff000 @1 #n servidores, o fechamento de servidores resultará na expulsão de todos os jogadores!"
9826,Sem servidor para resetar
9827,"Reinicialize #cfff000 @1 #n servidores. A redefinição do servidor é #cfff000Irreversível #n e irá limpar todos os arquivos salvos atuais, configurações do servidor e outras informações, por favor, tome cuidado!"
9828,Não há servidor disponível para carregar mapas
9829,Nenhum servidor para atualizar
9830,Selecione o tipo de processamento em lote
9831,Servidor está aberto
9832,Servidor está fechado
9833,Servidor foi reiniciado
9834,Servidor foi atualizado
9835,Gerenciamento de lote de servidor
9836,#c3D4546 Numero total de servidores: #n#c01C210@1#n#c3D4546 está aberto: #n#c01C210@2#n#c3D4546 foi fechado: #n#c01C210@3#n#c3D4546 expirou: #n#c01C210@4#n
9837,#c3D4546 Selecionado #n#cFF723A@1#n#c3D4546 servidores
9838,Fechar e atualizar
9839,Total de #cFF0000@1#n servidores atualizados (a última versão@2)
9840,"Você precisa fechar os servidores durante a atualização. #cFF0000Fechar servidores expulsará todos os jogadores! #nDepois que a atualização for concluída, o servidor será ligado automaticamente."
9841,Selecione o tipo de servidor antes de operar
9842,Vá para a página relevante para renovar antes de operar
9843,Desmarcar todos
9844,"O servidor em nuvem falhou ao iniciar, tente novamente mais tarde (@1)"
9845,Proprietário da sala do servidor de nuvem
9846,"O mapa tem possíveis violações, o sistema fechará a sala dentro de @1s"
9847,"A sala tem possíveis violações, o sistema irá fechar a sala em @1s"
9848,De volta ao salão
9900,@Null@
9901,@Null@
9902,@Null@
9903,@Null@
9904,@Null@
9905,@Null@
9906,@Null@
9907,@Null@
9908,@Null@
9909,@Null@
9910,@Null@
9911,@Null@
9912,Código de ativação resgatado com sucesso
9913,Operando com muita freqüência. Tente novamente mais tarde
9914,Você resgatou o código de ativação
9915,Os tempos de erro atingiram limite superior. Tente amanhã
9916,Código de ativação não existe
9917,Falha ao resgatar. Tente novamente mais tarde
9918,Código de ativação ainda é ineficaz agora
9919,Atualize para a versão mais recente
9920,Os tempos de resgate atingiram um limite superior. Tente amanhã
9921,Códigos de ativação deste lote atingiram limite superior
9922,Leia o código no lado do cliente para inserir
9923,Falha ao resgatar. Entre em contato com o atendimento ao cliente
9924,Erro de servidor. Tente novamente
9925,@Null@
10000,Por que os críticos publicam resenhas?
10001,Para encontrar o verdadeiro herói que pode derrotar o dragão negro malvado
10002,Para encontrar a terra vermelha do solo
10003,Para encontrar novos mapas mais interessantes
10004,Qual dos seguintes é o poder especial dos críticos?
10005,Crie um mapa no modo de desenvolvedor
10006,Molhe o jardim de um amigo
10007,Publicar comentários na zona em destaque
10008,Qual dos seguintes é a descrição correta sobre o poder dos críticos?
10009,Os críticos podem publicar comentários na zona do Mapa em destaque
10010,A crítica dos críticos será marcada no topo dos comentários do mapa
10011,Os outros dois estão certos
10012,Qual é a missão de um crítico?
10013,Para encontrar o comerciante do deserto
10014,Para construir uma super armadilha com partículas elétricas
10015,Para encontrar novos mapas mais interessantes e compartilhar com os outros
10016,Todas as recomendações dos conhecedores são exatamente do que os jogadores gostam?
