id,英文
6989,Cover
6990,Craft Book
6991,Craft
6992,"Select paper,input in the order from left to right"
6993,Clear out papers in book breakdown
6994,select book and put in the box on right
6995,No space available in backpack or shortcut bar
6996,Put previous crafted book in your backpack
6997,Input book name and author info in Book Info
6998,Input author info in Book Info
6999,Input book info in Book Info
7000,Input more than 2 papers to craft book
7001,You have joined the all member voice channel
7002,You have joined the team voice channel
7300,Return to Game
7301,"Your inventory is full,please clean up for the reward."
7302,Cancel
7303,Go clean up
7304,"Your inventory is full,some of the reward will be sent via mail"
7305,All
7306,Function
7307,Shards
7308,Extractable
7309,Inventory capacity
7310,"Max mounts,please wait for the new update"
7311,"Max characters,please wait for the new update"
7312,"Max skins,please wait for the new update"
7313,"Max collections,please wait for the new update"
7314,Succeed to reclaim
7315,Added in account
7316,Reclaiming income
7317,Following items will be reclaimed (Only unlocked items)
7318,Your inventory is full
7319,"Your inventory is full,the extra reward will be sent to you via mail,please redeem after cleaning up your inventory"
7320,"Your inventory is full,please organize your items."
7321,Failed to connect to the server.
7322,"Failed to search maps, please check the connection"
7323,Failed to get gallery info
7324,Verification Code
7325,"Your verification code is:@1,Verification Code valid within 5 mins."
7500,Record Settings
7501,"You are not the map host, record function disabled"
7502,"Record saves full, please clean up first"
7503,Record Saved
7504,"Record saves full, record function disabled"
7505,"Data storage is full, record function disabled"
7506,Data storage less than 50 Mb
7507,"
The remaining recording time is less than 1 minute"
7508,"Record space is full, record saved"
7509,Playing Review
7510,Play Speed
7511,"Camera setting not saved, you will lose the setting if close, are you sure to continue?"
7512,"Subtitle setting not saved, you will lose the setting if close, are you sure to continue?"
7513,"Music setting not saved, you will lose the setting if close, are you sure to continue?"
7514,My Videos
7515,Downloaded Records
7516,All Records
7517,Edit Record
7518,Play Record
7520,Play
7521,Pause
7522,Record Starts
7523,Are you sure to stop and save record? #r(Record files in Record Saves)
7524,Camera Settings Saved
7525,Edit Camera Settings
7526,Linked Cameras
7527,Please make camera settings before edit camera settings
7528,Direction 
7529,Start Time
7530,Please make subtitle settings before edit camera settings
7531,Please make music settings before edit camera settings
7532,@Null@
7533,"Delete camera will erase all settings of this camera, are you sure to delete? "
7534,Record Starts
7535,"Record ends, saved successfully"
7536,Are you sure to exit record edit?
7537,Record Save function is closed for now
7538,Record Save function is open
7539,@Null@
7540,Edit Subtitles
7541,Text
7542,Font Size
7543,Degree
7544,Top Centered
7545,Middle Centered
7546,Bottom Centered
7547,Large
7548,Middle
7549,Small
7550,To
7551,Are you sure to delete this subtitle?
7552,Music Edit
7553,Music
7554,Repeat
7555,Are you sure to exit preview?
7556,Select Music
7557,Please select music below
7558,Are you sure to delete this music?
7559,Playing Preview
7560,"Preview ends, do you want to replay?"
7561,"Improper text input, please try again"
7562,View Map
7563,Record Creator
7564,Map Creator
7565,Enable camera function to other players
7566,Map creator disabled camera function
7570,Record
7571,"Record saves full, please delete some records."
7572,Play
7573,Preview
7574,Add camera
7575,Edit Effect
7576,Effect
7577,Photographic Film
7578,Bubble
7579,Cloud
7580,Galaxy
7581,Shaking
7582,Petals
7583,"Effect edit not save, closing will lose all current edit, are you sure to close?"
7584,Are you sure to convert @1 record into video file and save to device video folder #r estimated storage for video is @2 #r estimated convert time needs @3 
7585,(Note:the length of the conversion is related to the length of the record. Please wait.)
7586,Are you sure to cancel record export? Click Confirm to end to record export.
7587,"Record converting, expected to take @1 "
7588,"Record exported successfully, saved to video folder, please close export interface"
7589,This Record already exists
7590,Export Record
7591,Please make camera settings before edit camera settings
7999,@Null@
8000,polluted area
8001,First round safe area radius
8002,First-run safe time
8003,Join game in progress
8004,Polluted area settings
8005,Area
8006,Deactivated
8007,"1. Set map size, settings, and life counts. Restart game to let new rules take effect.2. Outside the red circle is the polluted area. Inside the white circle is the safe area. People who are in the polluted area will continiously take damage. 3. After the safe timer resets, the polluted area will shrink from the red circle to the white circle and a new safe area will be created. The safe time will be increasingly shorter while the damage will increase in the polluted area."
8008,Owned
8009,Buy Mount
8010,Upgrade Mount
8011,Post-polluted area is zooming out
8012,Post-polluted area finished zooming out
8013,Survive
8014,In use
8015,polluted area is zooming out
8016,SkinShop
8017,On sale!
8018,General
8019,Post-generated safe area
8020,Safearea decreased to the minimum
8021,New safe area generated
8022,polluted area is shrinking
8023,Human Survived!
8024,Savage Victory!
8025,"You are the chosen one,please wait for the respawn. You will rise again as a savage.Other players, please run for your lives!"
8026,"Turned into savage,go hunt the lucky ones!"
8027,Teammates share life points
8028,"Winner Winner, Sweet dinner"
8029,Keep going!
8030,Ranking
8031,Defeat
8032,Rank
8033,"Join mid-game is not allowed for this room,please try other rooms."
8034,Fallen outside of safe zone.
8035,Random Supplyment Crate
8036,Fallen.
8037,Spectate 
8038,Chase Cam
8039,Switchable
8040,Spectator mode
8041,Quit
8042,Spectate 
8043,@self has been melted in the laser...
8044,Reset Mode: Prohibition does not take effect
8045,Shortcut bar is full
8046,@Null@
8047,@Null@
8200,@Null@
8499,@Null@
8500,@Null@
8501,Skill settings
8502,Skills
8503,:
8504,Edit
8505,New item skill
8506,Select an item skill
8507,Common
8508,Projectile
8509,Type 3
8510,Type 4
8511,Type 5
8512,Item skills setting
8520,Skill type
8521,Target pointing
8522,No target
8523,Projectile triggle
8524,Hotkey
8525,Left click/tap
8526,Right click/tap
8527,Right long click/using icon
8528,Charge mode
8529,None-charge mode
8530,Cast after charge
8531,Max charge only
8532,Auto cast after max charge
8533,Movement speed while charging
8534,Cool Down
8535,Cast range
8536,Consumption type
8537,Durability
8538,Hunger level
8539,Ammo
8540,Consume number
8541,Ammo
8542,Target type
8543,Creature
8544,Block
8545,Target Category
8546,All creatures
8547,Monsters
8548,Animals
8549,Rare animals
8550,Aquatic creatures
8551,Moving tools
8552,Villagers
8553,Boss
8554,NPC
8555,Flying creatures
8556,All blocks
8557,Wood
8558,Stone
8559,Dirt
8560,Leaves and cotton
8561,Precise target
8562,Target team
8563,Unlimited
8564,Same team
8565,Different team
8566,Special mark
8567,Range type
8568,Length
8569,Width
8570,Length
8571,Width
8572,Height
8573,Effect type
8574,Destroy
8575,Place
8576,Replace
8577,Item Drop
8578,No Drop
8579,Drop
8580,Block
8581,Damage type
8582,Melee
8583,Range
8584,Explode
8585,Burn
8586,Poison
8587,Chaos
8588,Damage
8589,Knock back 
8590,Blow up force
8591,Summon creature
8592,Summon number
8593,Following
8594,Do not follow
8595,Follow
8596,Duration
8597,Buff
8598,Duration
8599,Rate
8600,Projectile
8601,Acceleration
8602,Healing type
8603,HP
8604,Hunger point
8605,Hunger resistance
8606,Single target
8607,Beam
8608,Area
8609,Oxigen
8610,Healing value
8611,Charging time
8612,Item skill info
8613,Select a projectile
8614,Select an effect
8615,Item drop
8616,Charge mode
8617,Select skill type
8618,select block
8619,Skill Effect
8620,Skill Type
8621,Damage Type
8622,Weather Summoned Creature protects host
8623,Team size
8624,Natural blocks
8625,Select an item
8626,"1 There can be different effect of item skills such like damage of area,knock back etc
2 Each item can only have 1 skill，but projectiles can have 10 skills at most
3 More hiden ways waiting for your to explore!"
8627,Effect
8628,Use
8629,Target
8630,Range
8631,Consume
8650,React block
8651,#c0aaa1a%s#n to #c0aaa1a%s#n which is within a certain range
8652,Attack
8653,Cause #c0aaa1a%d#n damage and send the target flying 
8654,Power Strike 
8655,Knockback creatures or physical characteristics items
8656,Summon creature
8657,Summon #c0aaa1a%s#nx#c0aaa1a%d#n to fight for you for #c0aaa1a%d#n seconds
8658,Buff
8659,The #c0aaa1a%d%%#n probability gives the target #c0aaa1a%s#n status for #c0aaa1a%d#n seconds.
8660,shoot projectiles
8661,Shoot target with #c0aaa1a%s#n
8662,Heal
8663,Heal target for #c0aaa1a%s#nx#c0aaa1a%d#n
8664,Operating blocks(projectile)
8665,Attack(projectile)
8666,Knock off(projectile)
8667,Summon creatures(projectile)
8668,Buff up(projectile)
8669,Heal(projectile)
8999,@Null@
9001,Default Skin
9002,"Activating totem will wipe of the former mark,and set a new mark on the current location."
9003,Hot
9004,Classic
9005,Escape Pollution 
9006,Classic Mode
9007,Creator Mode
9008,Settings
9009,@1 days left
9010,#L Load preset plugin#n
9011,Number and letter password can all be used for game login
9012,Password
9013,Input number and letter
9014,Repeat password
9015,Text PWD
9016,Choose Question
9017,Input number and letter
9018,Most impressive person
9019,Your favourite food
9020,Your favourite animal
9021,The most eager visit place
9022,Your first present
9023,Your lucky number
9024,#L Text password login #n
9025,#L Number and letter password login #n
9026,Answer
9027,Question
9028,Most impressive person
9029,Your favourite food
9030,Your favourite animal
9031,The most eager visit place
9032,Your first present
9033,Your lucky number
9034,"Setting failed. Please set 8-12 digits (Letters, Numbers and punctuation marks are available.)"
9035,"For your account safety, please re-enter the passwort(8-12 digits)"
9048,Web page payment
9049,Please click the tab above and go to webpage payment
9050,Top up not supported
9051,@Null@
9052,@Null@
9053,@Null@
9054,@Null@
9055,Load official plugins by default 
9056,Skin Effects:
9057,Mount list
9058,Character list
9059,Mini Cloud
9060,Crops
9061,Tools
9062,Etc.
9063,Block
9064,Totem can’t be placed in Flamas
9065,Create room
9066,Spectator settings
9067,Spectator on
9068,All rooms
9069,Players’ room
9070,Official room
9071,Creator’s map
9072,Room hosting
9073,Prev Player
9074,Next Player
9075,Switch
9076,Block placeable/breakable
9077,Block unplaceable/unbreakable
9078,Spectating
9079,Comments
9080,Room Type
9081,Map select
9082,Room settings
9083,Switch Server
9084,Hot 
9085,No maps for now
9086,WIFI
9087,Hotspot
9088,Drop chest
9089,Judge
9090,Map files damaged: failed to verify
9091,Map files damaged: failed to extract
9092,Map files damaged: failed to check the content
9093,Failed to download: map file does not exist
9094,Failed to download: unable to find the files
9095,Creat your own world using your imagination!
9096,Terrain Setting
9097,Terrain Setting
9098,Terrain Generating
9099,Surface
9100,Creature
9101,Mineral
9102,Height
9103,Random height
9104,Average height
9105,Max height
9106,Surface block
9107,Filling block
9108,Filling thickness
9109,Generating rate
9110,Block Name
9111,Grid
9112,Iceberg
9113,Basin
9114,Bamboo Forest basin
9115,Peach Forest basin
9116,Edge basin
9117,Plant
9118,Architecture
9119,Item
9120,Select plant
9121,Plant density
9122,Block selecting
9123,Thin
9124,Normal
9125,Animal
9126,Rare animal
9127,Flying animal
9128,Monster
9129,Select animals to add
9130,Animal generating preview
9131,Max number in total
9132,@Null@
9133,Minerals
9134,Mineral generating height
9135,Add a new mineral type
9136,Replace blocks
9137,@Null@
9138,Generate
9139,"It’s been long since you last shared your map,sharing maps can help you prevent the save data loss!"
9140,Skip and start
9141,Share
9142,@1 at most
9143,Spawn rate
9144,Number of ore in mineral veins
9145,Density of mineral vein
9146,Advanced attribute of ore
9147,Ice ocean
9148,Ice river
9149,Red soil
9150,Red soil coast
9151,Dune
9152,Forest highland
9153,Pine woods highland
9154,Woodland Highlands
9155,Rivers
9156,Beach
9157,Cliff
9158,Rare
9159,Few
9160,Normal
9161,Many
9162,A lot
9163,"You have set the Password; please use it to login next time; #r1.Save in #cfa7a0f local #n check when you forget；#r2. please do not tell your password to other guys,do not save on #cfa7a0f public device #n . #r Save your password on #cfa7a0f desktop #n ?"
9164,"1.Save in #cfa7a0f mobile phone #n check when you forget；#r2.Please don’t tell your password to others,don’t save on #cfa7a0f public device #n. #r#rSave your account and password in #cfa7a0f album #n ?"
9165,Account and password saved on #cfa7a0f desktop #n
9166,Account and password saved on #cfa7a0f album #n
9167,Info of account and password
9168,Fast Join
9169,View maps
9170,Not uploaded or unable to download
9171,Later
9172,Download
9173,Update resources downloaded
9174,"Recommend to download resource pack @1 for better gaming experience. It won't influence your experience if not download. #r(You are using data, download will consume your data. Re open game if you want to download another time)"
9175,DIY Gallery
9176,Are you sure to delete the display of this collocation?
9177,Save current DIY avatar?
9178,Save Avatar
9179,Add to wishlist
9180,Buy all
9181,"Some avatar is not purchased, please purchase before saving."
9182,"This will cost #c0aaa1a@1×@2#nto purchase.#cfa7a0f@3#nconfirm to go on.#r(Enjoy the joy,purchase rantionally)"
9183,"Are you sure to save the purchased avatars as your image? Will cover the current one, please backup first."
9184,"This will cost #c0aaa1a@1×@2#n to unlock the No. #cfa7a0f@3#n slot, please confirm.#r(Purchase rantionally)"
9185,Obtained pernament
9186,More sets
9187,Save and back to the DIY page?
9188,Size
9189,Small
9190,Normal
9191,Large
9192,Save
9193,Walk
9194,Jump
9195,Standby
9196,Casual
9197,Girl
9198,Boy
9199,Little kid
9200,Big guy
9201,Costume
9202,Color
9203,Male
9204,Female
9205,Not purchased
9206,Purchased
9207,Price↑
9208,Price↓
9209,Latest
9210,Complex
9211,Save on server and quit?
9212,No
9213,Save and quit
9214,Terms of Use and Privacy Policy
9215,"Terms of Use and Privacy Policy
 We have recently updated our #LTerms of Use@@1#n and #LPrivacy Policy@@2#n:
 
 By tapping Agree below, you acknowledge and agree that you have read and understood the Miniwan’s Terms of Use and Privacy Policy, and agree to be bound thereby. 
 
 If you have any questions, comments or complaints, please contact us at miniwantech@gmail.com."
9216,Quit
9217,I Agree
9218,Uid Deleted
9219,Deleted account. Can't login
9220,You have agreed with the Terms of Use and Privacy Policy 
9221,Delete Account
9222,"1.If you want to delete your account (Warning：All information, items,mini coins and maps will be deleted permanently), please send a mail to: MiniworldCustomerService@gmail.com #cef2d2d You need to offer your personal information such as account and password, store history (If have). #n
2. Your requirement will be processed within 14 working days. Please check your email to get the specific result."
9223,@Null@
9224,The UID is deleted
9225,Privacy Policy
9226,#L#cfa7a0fPrivacy Policy
9227,Your account has been deleted.
9228,Quit
9229,#c0aaa1a@1×@2#nUnlocked
9230,Size
9231,Gesture
9232,Name
9233,Tap to enter name
9234,Filters
9235,Head
9236,Expression
9237,Face
9238,Tops
9239,Pants
9240,Shoes
9241,Special Equipment
9242,Effect
9243,Applique
9244,Wish list
9245,Type
9246,DIY Avatar
9247,#c0aafff@1 days @2 hours @3 minutes left for the try-on
9248,#cda6fffLimited purchasing:@1 days @2 hours @3 minutes left#n
9249,Purchasing list:#r@1#n
9250,Custom
9251,Saved successfully
9252,Slot +1
9253,Try-on
9254,#cfa7a0f@1#n #c0aaa1a@2x@3#n#r
9255,Edit
9256,New item:@1 dress up!
9257,Unlock
9258,Downloading
9259,"Failed to save,no custome equiped"
9260,Tap DIY Avatar model below to enter edit mode
9261,"Loading failed,please try again later"
9262,"Loading,please wait"
9263,Loading...
9264,Body
9265,Color
9266,Hue
9267,Saturation
9268,Brightness
9269,Color area @1
9270,Please equip this part and try again
9271,Not purchased
9272,Wish list is full
9273,All the wish avatar will be in here
9274,Wish list
9275,Add to wish list
9276,Name
9277,Ornament
9278,Hand
9279,Footprint
9280,Invalid wish list
9281,This is in wish list already
9282,Added to wish list
9283,Try-on
9284,DIY Avatar Applied
9285,Hot
9286,Purchase failed
9287,Purchase failed. Please check your internet connection.
9288,You already owned this set. Please open this page again
9289,"Are you sure to save the purchased avatars as your image? Will cover the current one, please backup first."
9290,Failed to save. Please check your network connection.
9291,Please put the materials in first
9292,Please remove the products first
9293,Front
9294,Back
9295,Left
9296,Right
9297,Up
9298,Down
9299,Blueprint Workbench
9300,Select material
9301,Blueprint Plan Name
9302,"Blueprint Plan Implementation#r#r
Hold Blueprint Plan and tap on the ground. Confirm building area, then connect with energy to initiate building. The stronger energy is, the faster it will build#r#r#r
Blueprint Plan Building Direction#r#r
Building Direction is determined by the positioning direction of you. Use Wrench to adjust it into its mirror position"
9303,Required items
9304,Blueprint plan info
9305,Put all
9306,Duplicate Zone
9307,@Null@
9308,@Null@
9309,@Null@
9310,Delete
9311,Block
9312,Track
9313,Blocked
9314,Block Cancelled
9315,Community
9316,Digging through Mini World in single player mode
9317,Set all messages to 'Read'?
9318,In @1 multiplayer mode (@2)
9319,"Your friend is in Single Player mode, cannot track multiplayer room."
9320,Please wait @1 seconds then try refresh
9321,Played together in #cfa7a0f@1#n multiplayer room
9322,The recent playmate list is empty
9323,Are you sure to blacklist the player?
9324,Blacklist is full
9325,Blacklist
9326,Recent playmates
9327,Share map to Gallery in order to share
9328,Requests
9329,Blacklist is empty
9330,Follow Permit
9331,This player does not permit to follow
9332,More
9333,Please wait @1 seconds then try invite again
9334,Nearby
9335,Invite Other Players
9336,"Mini World,brings out infinite creativity"
9337,Your friend @1(@2) invites you create together in Mini World!
9338,Post in status
9339,Updated save@1
9340,Defeat Boss @1 times in survival mode
9341,Discover treasure @1 times in survival
9342,Survived @1 days in extreme mode 
9343,Defeat monster boss in extreme mode @1 time
9344,Received in game event rewards @1 times
9345,Create popular or featured maps @1 times
9346,The level of critic reached Lv.@1
9347,Number of friends reached @1
9348,Number of followers reached @1
9349,Get @1 Likes in my status
9350,Watering plants @1 times
9351,Deworming @1 times
9352,Unlock @1 Collection
9353,Harvested @1 fruits
9354,Level of Garden reached Lv.@1
9355,The number of Character reached @1
9356,The Character's talent reaches Lv.@1
9357,Unlock @1 permanent skins
9358,Unlock @1 mounts
9359,Unlock @1 DIY Avatar
9360,Completed the identity check
9361,The continuous login reached @1 days
9362,Mob Hunter
9363,Treasure Hunter
9364,Survival Master
9365,God of Battle
9366,Mysterious Gifts
9367,Map Master
9368,Review Experts
9369,Happy Friends
9370,Superstar
9371,Renowned
9372,Green Gardener
9373,Bug Buster
9374,Master Collector
9375,Big Harvest
9376,Thriving
9377,Full Assembly
9378,I am so strong
9379,Transformation
9380,Taming Master
9381,Luxury Wardrobe
9382,Who am I?
9383,Login Daily
9384,Scam Defender
9385,Complete Mini Class on anti-scam lesson
9500,Mine
9501,Fav./History
9502,Mini Cloud
9503,Rent Server
9504,Please select saved map 
9505,Setting
9506,Players Management
9507,Backups Management
9508,Server Status
9509,Reset Server
9510,Upgrade
9511,Server ID
9512,Login History
9513,Basic
9514,Advanced
9515,Plus
9516,Premium
9517,Maximum capacity: 6 people#rSuitable for maps in normal mode and developer mode
9518,Maximum capacity: 10 people#rSuitable for maps in normal mode and developer mode
9519,Maximum capacity: 20 people#rSuitable for maps in normal mode and developer mode
9520,Maximum capacity: 30 people#rSuitable for maps in normal mode and developer mode
9521,#L[Mini Cloud Privacy&Terms]#n
9522,Rent Mini Cloud
9523,Auto-Renew
9524,"After ticking, it is deemed to authorize the [Mini Cloud] to automatically deduct the corresponding mini coin for renewal for one month before the expiration date."
9525,Duration
9526,@1 Day
9527,The purchase function is not available now.
9528,"You are in the blacklist, cannot join this server."
9529,"Sorry, you cannot join the server, please ask server owner for authority."
9530,Total:
9531,Buy
9532,Non-Renew
9533,Upgrade: #cda5b0a@1#n(Remaining @2 Days)
9534,"Renew: #cda5b0a@1#n(After purchase, remaining @2 Days)"
9535,#c0aaa0f@1×@2#n
9536,Please check and agree the [Mini Cloud Privacy&Terms] first
9537,Build Server
9538,Available for Friends only
9539,Available for Whitelist only
9540,Purchase Mini Cloud success. Select saved map to build server.
9541,"Upgrading Mini Cloud will close your server temporarily, after upgrade it will open automatically."
9542,Close server will kick out all players! #cef2d2d@1#n players are in server now.
9543,Close and upgrade
9544,Close later
9545,Upgrade success! The server has opened.
9546,Server closed
9547,Server maintenance
9548,Mini Cloud built successfully. Open the server now?(Open to play in server) 
9549,Server Setting
9550,Status
9551,Whitelist
9552,Playing in server
9553,Admin
9554,Set as whitelist
9555,Set as blacklist
9556,Set as administrator(Super)
9557,Set as administrator
9558,Move out 
9559,Add to blacklist
9560,Import data
9561,Move out
9562,Add from friends
9563,administrator(Super)
9564,administrator
9565,Clear All Admins
9566,Clear All Admins(S)
9567,Search UID
9568,"Added failed, @1 reach the limit"
9569,Cancel Authority
9570,"Administrators(Super) have the following permissions:
"
9571,"Administrators have the following permissions:
"
9572,#c0aaa1a is using
9573,Space used: #cfa7a0f@1#n/@2
9574,Buy Space
9575,#LServer Status
9576,#L Maintenance
9577,Server Notice
9578,Please select the data source that needs to be imported from the following server
9579,Purchase storage space
9580,Please select the type of storage space
9581,One-key add
9582,Private Blacklist
9583,"The backup saves are full, please clean the saves before you operate"
9584,There is not enough space in your Mini Cloud. Please Buy space or delete the backup.
9585,"After close server, #cfa7a0fthe server stops to work and no player can join it.#n Available operations during closed status: Backup saves, Backup restore, upgrade and reset the server."
9586,"After click [Maintenance], #cfa7a0fthe server still works, but not to the public.#n All normal players in the server will be kicked out, only Administrators/(ALL) can join the server, regular players need to be invited to enter."
9587,Maintaining the server will kick out all players except Administrators(ALL)! There are #cef2d2d@1#n players in the server now.
9588,Prompt only once
9589,Post
9590,Mini Cloud expired
9591,"Mini Cloud expired, please renew."
9592,Please close the server before operate.
9593,"Server has closed, players cannot join."
9594,"Server is in Maintenance, players cannot join."
9595,Start the server now?
9596,Renew the Server
9597,Reset server(Irreversible)#cef2d2d Clear all backup saves and setting information.#n Please be careful. 
9598,"Save reduction(Irreversible)#cef2d2d Overwrite the current save, #n please be careful."
9599,"The save in this server is illegal, please reset the server and use other saves to build."
9600,"Dear players: #r we will deduct @3 Mini Coins on @1.@2(MM/DD) to renew your Mini Cloud(@4).  After successful deduction, the validity period of server will be extended by 30 days. To cancel the automatic renewal function, please go to the Mini Cloud renewal upgrade page to cancel it.#r (From: Mini Captain) "
9601,"Dear players: Your Mini Cloud(@1) has been successfully renewed and the validity period has been extended to @2.@3 (MM/DD). Thank you for your support, and enjoy with Mini World.
  #r (From: Mini Captain) "
9602,"Dear players: #r Your account balance is not enough and cannot be automatically renewed. The Mini Cloud will automatically close when it expires on @1.@2 (MM/DD). If necessary, please renew the Mini Cloud manually after Recharge. #r (From: Mini Captain)"
9603,"Dear players: #r Your storage space usage has exceeded @1. When the space usage reaches 100%, the game will not work properly. #nYou can choose to buy storage space or delete backup saves to reduce storage space usage. #r (From: Mini Captain)"
9604,"Dear player: #r Your Mini Cloud has expired, and the server has been automatically closed. If you want to continue using the server, please go to the relevant interface to renew the Mini Cloud. #r (From: Mini Captain)"
9605,"Dear player: #r The Mini Cloud you have will expire on @2.@3 (mm/dd), and the Mini Cloud will be automatically closed after expiration. If you need to continue to use the service of the Mini Cloud, please go to the Mini Cloud renewal upgrade interface and purchase the renewal. #r (From: Mini Captain)"
9606,Maintenance
9607,Please build server before operate.
9608,Damage Block
9609,Place Block
9610,Pick up Item
9611,Attack Player
9612,Use Item
9613,Game permissions
9614,Renew successfully
9615,Server Backup
9616,The server is full
9617,The validity period of server is over 180 days
9618,"Error, please try again."
9619,The player is in Whitelist
9620,The player is in Blacklist
9621,Player deleted
9622,The quota of Administrators(Super) is full
9623,The quota of Administrators is full
9624,Server data error
9625,The player has left the server.
9626,"The server is consuming time, time remaining @1"
9627,This player is the Server Administrator. The Administrator will be cancelled after adding to the blacklist.
9628,"Upload maps error, please reset the server and try again."
9629,"Backup error, please try again."
9630,"Reset room error, please contact customer service for help."
9631,You do not own this server
9632,You have reached the maximum number of servers.
9633,Purchase or Upgrade Server failed.
9634,Server Information
9635,Server List
9636,Server Setting
9637,Kick Out
9638,Do you confirm to delete the backup save?
9639,Your game permission: @1 has been cancelled; please ask server owner or administrator(Super) for it.
9640,The server owner/administrator(Super) has cancelled your game permission: @1
9641,The server-owner/administrator(Super) assign the permission(@1) to you.
9642,You have become the @1 of the server.
9643,Game permissions: @1(Off)
9644,Game permissions: @1(On)
9645,Current using saves
9646,The server is only available for owner's friends. Please add the server owner as a friend to join.
9647,@1's Mini Cloud
9648,Please enter notice
9649,Basic Setting Instructions
9650,"#cfa7a0f Server Name: #n
  The name of this server displays in the Multiplayer lobby.
#cfa7a0f Introduction: #n
  The introduction of the server can check in the Multiplayer lobby-detailed introduction.
 #cfa7a0f Password: #n
  After setting the password, the player needs to enter the correct password to join the server (the server owner, administrator(Super) and administrators do not need the password.
 #cfa7a0f Permissions: #n
  Friends Available: Only the server owner's friends can enter the server.
  Whitelist Available: Only players in server whitelist can enter the server. 
  Note: If both [Friends Available] and [Whitelist Available] are selected, both friends and the whitelist players can enter the server. If not click any options, all players can join this server. 
  #cfa7a0fSave:#n
  You must click Save in order to set successfully."
9651,Player Setting Instructions
9652,"#cfa7a0f Player: #n
The player list records the players who have entered this server and displays the player's last login time or login status (Click Setting button to set)
#cfa7a0f Whitelist: #n
Only players in the whitelist can enter this server when you select [Whitelist Available] in server management-basic setting-permissions.
Click [Invite Friends] to open the friends-list to add friends to the white list. Copy data is used to synchronize the list data of multiple servers conveniently. One-key clearing will delete all players in the list.
#cfa7a0f Blacklist: #n
Players on the blacklist cannot enter this server.
Click [Add Blacklist] to open the personal blacklist of the server owner, and add the player to the blacklist of the server.
#cfa7a0f Admin: #n
The server owner can set the player as an administrator (Normal or Super), and administrators can only use their permissions within the server (for details, please check [Administrator Super] [Administrator]).
#cfa7a0f Search: #n
Enter a UID and click search. The UID will display in the list."
9653,Backup Setting Instructions
9654,"#cfa7a0f Current Save: #n
  The save in the first place is the current save in use by the server.
  Click the setting to back up save (The backup operation needs to close the server before operate).
#cfa7a0f Backup Saves: #n
  There are four backup saves slots(Excluding the current save). When you build the server, the uploaded map will automatically back up. The remaining slots need to be manually backed up by the owner.
  Click the setting to restore, download, rename, and delete. 
Restore: Overwrite the backup to the current save (This operation needs server status: close); 
Download: Download the backup to the local saves; 
Rename: Modify the name of the backup saves; 
Delete: Delete this backup and remove from the list.
#cfa7a0f Expansion: #n
  The storage space of each server is limited. When the space usage reaches 100%, players cannot play in the server. Server owners can choose to purchase storage space plan or delete backup saves to reduce storage space usage.
#cfa7a0f Upload: #n
You can select a local map save and upload it to the Mini service backup. After the upload is successful, you can operate the backup."
9655,Status Setting Instructions
9656,"#cfa7a0f Server Status: #n
  Server has two status: On/Off (Click the switch button to switch the state).
  On: The Server is running normally, and players can join (Excluding maintenance status);
  Off: The Server stops running, and all players cannot enter. When the Server status is off, you can operate the following options: Back up, Restore, Upgrade Server, and Reset Server.
#cfa7a0f Maintenance Status: #n
 The maintenance status can be set when the Server is running only.
  Normal: The Server is running normally, and players can join according to the conditions (Conditions: Password in the basic settings, friends available, whitelist available, and blacklist unavailable);
  Maintenance: The Server in maintenance. Other players will be moved out of the Server except for server owner and administrators. The owner can invite other players to join the maintenance server.
#cfa7a0f Server Notice: #n
  The server owner and  Administrators(Super) can post three notices per day for each Server. After publishment, all players in the Server will be notified immediately. (Select [Prompt only once] the announcement only appears once, and you will not receive it again when you enter the Server.) or this announcement will pop up every time you enter the Server."
9657,#L Permissions instructions#n
9658,"#cfa7a0f Permissions operation rules #n
The owner can set all players individual permissions and whole game permissions(All) of the Server.
Administrator(Super) can set all players individual permissions and whole game permissions(All) of the Server except for server owner and other Administrators.
Other players can view their individual game permissions and whole game permissions(All), but cannot adjust them.
#cfa7a0f Individual Game Permissions and Game Permissions(All) #n
When the players game permissions are not changed (the players game permissions button is blue), the player will use the game permissions(All). 
When the players game permissions are changed (the players game permissions button turns yellow), the player will use individual game permissions and is not affected by the game permissions(All).
#cfa7a0f How to restore a players individual game permissions #n
Server owner or Administrator(Super) click the restore icon next to the players game permissions.  The players [Game Permissions] button returns to blue from yellow), and the player will use Game Permissions(All)."
9659,Restore player's permissions successfully. All permissions reset as Game Permissions(All). 
9660,Game Permissions(All)
9661,"When the game permissions of players are not changed (the game permissions button is blue), the player will use the game permissions(All). 
When the game permissions of players are changed (the game permissions button turns yellow), the player will use individual game permissions and is not affected by the game permissions(All)."
9662,Damage Block（#c0aaa1aOn#n）
9663,Damage Block（#cef2d2dOff#n）
9664,Place Block（#c0aaa1aOn#n）
9665,Place Block（#cef2d2dOff#n）
9666,Pick up Item（#c0aaa1aOn#n）
9667,Pick up Item（#cef2d2dOff#n）
9668,Use Item（#c0aaa1aOn#n）
9669,Use Item（#cef2d2dOff#n）
9670,Attack Player（#c0aaa1aOn#n）
9671,Attack Player（#cef2d2dOff#n）
9672,Attack Creature（#c0aaa1aOn#n）
9673,Attack Creature（#cef2d2dOff#n）
9674,Attack creatures
9675,Setting has been changed. Confirm to save? 
