id,土耳其语
4069,"Eklenti nedir? Bu, orijinal küpleri, yaratıkları, haritalarıdeğiştirebileceğiniz ve özel içerik ekleyebileceğiniz bir araçtır. Eklentiler küp, yaratık, eşya formlarında Eklenti içinde depolanır. Nasıl eklenti oluşturulur? Eklenti→Oluştur butonuna tıkla→Kaydet Eklenti nasıl kullanılır? Eklenti yalnızca yüklü olduğu haritada geçerlidir. 1) Yüklenen eklentileri etkin hale getirmek için yeni bir dünya yaratırken eklentileri seçin. 2) Yüklenen eklentinin etkili olabilmesi için Eklenti Yönetim Arayüzünden seçin."
4070,#cfa7a0fEklentiler nasıl yüklenir?#n 1. Eklenti Ekle→Yüklenecek eklentiyi seç→Ekleme işlemini onayla→Eklenmek istenen eklenti seçildi seçeneklerine tıkla. 2) OK butonuna tıkla ve Yeni Dünya oluşturmak için geri dön. 3) Oynatmak için başlata tıkla ve seçilen eklenti yüklenip çalışmaya başlayacaktır!
4071,#cfa7a0fEklentiler nasıl yüklenir?#n 1. Eklenti Ekle→Yüklenecek eklentiyi seç→Ekleme işlemini onayla→Eklenmek istenen eklenti seçildi seçeneklerine tıkla. 2) Arşiv listesine dönme işlemini onaylamak için OK butonuna tıkla. 3) Oyuna gir ve seçilen eklenti yüklenip çalışmaya başlayacaktır!
4072,#cfa7a0fNasıl eklenti eklenir?#n 1. Eklenmek istenen eklenti üzerindeki O yu seçmek için tıkla. 2. Seçili eklentiyi eklemek için OK butonuna tıkla 3) Daha sonra eklenti ile değiştirilen harita üzerine oynamaya başla!
4073,Onayla
4074,Yok
4075,Kullanıcı sözleşmesini okudum ve kabul ediyorum#L#cfa7a0f
4076,"Terms of Use for the Gallery
 
 If you have any questions about, or if you wish to send us any notices in relation to, this Term of Use for the Gallery (hereinafter referred as “Agreement”), please contact us at miniwantech@gmail.com.
 
 1. Acceptance of the Agreement 
 Unless expressly defined otherwise this Agreement, all capitalized terms in this Agreement shall have the same meaning as defined in the Terms of Use and the Privacy Policy. 
 
 You agree to be bound by the the Agreement, the Terms of Use, the Privacy Policy and any other agreements entered by you with Miniwan related to the software“Miniworld: Block Art” (Collectively referred as the “Terms”). Anything not agreed in this Agreement shall be executed as agreed in the Terms.
 
 2. Intellectual Property
 With the elements, tools, functions and other contents in or of our software “Miniworld: Block Art”, our Services may allow you to communicate, submit, upload or otherwise make available text, images, audio, video, competition entries or other content, which may be accessible and viewable by the public (“User modified Contents”). You may not submit or upload User modified Contents that is defamatory, harassing, threatening, bigoted, hateful, violent, vulgar, obscene, pornographic, or otherwise offensive or that harms or can reasonably be expected to harm any person or entity, whether or not such material is protected by law. 
 
 Ownership of the Intellectual Property. The visual interfaces, graphics, design, compilation, information, data, computer code (including source code or object code), products, software, services, all other elements of the Service and the User modified Contents (-Intellectual Property- or -IP-) are protected by law. All IP contained in the Service is our property or third-party licensors’ property. Except as expressly authorized by us in these Terms, you may not make use of any IP contained in the Service. We reserve all rights to the IP not granted expressly in these Terms. 
 
 You are solely responsible for the User modified Contents you have made and you represent and warrant that: (i)You have the necessary licenses, rights, consents, and permissions, to communicate, submit, upload or make the User modified Contents Representations; and (2) the User modified Contents, and the use of your User modified Contents, does not and will not: (i) infringe, violate, or misappropriate any third-party right, including any copyright, trademark, patent, trade secret, moral right, privacy right, right of publicity, or any other intellectual property or proprietary right; (ii) slander, defame, libel, or invade the right of privacy, publicity or other property rights of any other person; (iii) require Miniwan to obtain any further licenses from or pay royalties or compensation or other amounts or provide any attribution to any third parties; (iv) result in a breach of contract between you and a third party; or (v) cause us to violate any law or regulation. You agree to pay all monies owing to any person as a result of providing the User modified Contents. 
 
 You agree to indemnify and hold us and our subsidiary and affiliated companies, and each of their respective employees and officers, harmless from any demands, loss, liability, claims or expenses (including attorneys' fees), made against us by any third party arising out of or in connection with our use and exploitation of the User Generated Content. You also agree not to enforce any moral rights, ancillary rights or similar rights in or to the User Generated Content against us or our licensees, distributors, agents, representatives and other authorized users, and agree to procure the same agreement not to enforce from others who may possess such rights. 
 
 We have the right but not the obligation to monitor, screen, post, remove, modify, store and review User modified Content or communications sent through Service, at any time and for any reason, including to ensure that the User Modified Content or communication conforms to the Terms, without prior notice to you. We are not responsible for, and do not endorse or guarantee, the opinions, views, advice or recommendations posted or sent by users. 
 
 3. MONITORING AND PROHIBITED ACTIVITIES
 We have no obligation to monitor the User modified Content and we are not responsible for monitoring the Service for inappropriate or illegal Content or conduct by other players. However, we do reserve the right, in our sole discretion, to monitor and/or record your interactions with the Services and other players (including chat text and voice communications) when you are using the Services.
 
 You agree not to engage in any of the following prohibited activities on or in relation to our services, or allow any person to use Your Account with us to do the same:
 • send any unsolicited, unauthorised spam (such as spam comments in our social media services), advertising or promotional messages, or any other commercial communications;
 • submit, upload, transmit or display, through our services, any content (whether displayed publicly or not, and whether displayed directly or indirect to any other users) which in fact or in our reasonable opinion:
 o breaches any laws or regulations (or may result in a breach of any laws or regulations when used in a manner permitted by this Terms of Use);
 o creates a risk of loss or damage to any person or property;
 o is fraudulent, false, misleading or deceptive;
 o harms or exploits any person (whether adult or minor) in any way, including via bullying, harassment or threats of violence;
 o is hateful, harassing, abusive, racially or ethnically offensive, defamatory, humiliating to other people (publicly or otherwise), threatening, profane or otherwise objectionable;
 o promotes or encourages self-harming;
 o infringes our rights or any third party’s rights, including any intellectual property rights, contractual rights, confidentiality rights or privacy rights;
 o is pornographic, sexually explicit, violent or otherwise of an indecent or offensive nature; or
 o encourages or is likely to encourage any of the above;
 • violate any applicable laws or regulations, including credit card fraud or bank account fraud;
 • engage in any illegal or potentially illegal (as determined by us) activities or transactions, including sale of any illicit drugs or money laundering;
 • gamble, provide gambling information or entice others to engage in gambling through any method;
 • use or exploit any of our intellectual property rights (including our trademarks, brand name, logo, any other of our proprietary information or the layout or design of any page), or otherwise infringe on any of our intellectual property rights (including attempting to reverse engineer any applications or software used to access our services);
 • access any of our services, collect or process any content made available through our services, send or redirect any communications through our services, in each case, through the use any automated bots, software, engines, crawlers, scrapers, data mining tools or the like, or attempt to do any of the foregoing, including using any automated means to artificially promote any content;
 • engage in any “framing”, “mirroring,” or other techniques directed at simulating the appearance or function of our services;
 • interfere with, or attempt to interfere with, any user’s or any other party’s access to our services;
 • intentionally distribute viruses, worms, Trojan horses, corrupted files or other malicious code or items;
 • share or publish any other person’s personally identifiable information using our services without their express consent;
 • probe or test the vulnerability of, or otherwise circumvent (or attempt to circumvent) any security features on, our services, our systems or the systems of other users;
 • create multiple accounts for disruptive or abusive purposes; or
 • engage in any other activity that encourages any person or entity to breach this Terms of Use.
 
 4. Indemnity
 You agree that you will be responsible for your use of the Service, and you agree to defend and indemnify us and our officers, directors, employees, consultants, affiliates, investors, business partners, subsidiaries and agents (together, the -Affiliated Parties-) from and against every claim, liability, damage, loss, and expense, including reasonable attorneys’ fees and costs, arising out of or in any way connected with: (a) your access to, use of, or alleged use of the Service; (b) your violation of any portion of these Terms, any representation, warranty, or agreement referenced in these Terms, or any applicable law or regulation; (c) your violation of any third-party right, including any intellectual property or proprietary right, publicity or privacy right, property right, or confidentiality obligation; or (d) any dispute or issue between you and any third party. We reserve the right, at our own expense, to assume the exclusive defense and control of any matter otherwise subject to indemnification by you (without limiting your indemnification obligations with respect to that matter), and in that case, you agree to cooperate with our defense of that claim.
 
 YOU AGREE TO INDEMNIFY US, OUR PARTNERS AND OUR AFFILIATE COMPANIES FROM AND AGAINST ANY CLAIM, SUIT, ACTION, DEMAND, DAMAGE, DEBT, LOSS, COST, EXPENSE (INCLUDING LITIGATION COSTS AND ATTORNEYS’ FEES) AND LIABILITY ARISING FROM: (I) YOUR USE OF OUR SERVICES OR SOFTWARE; OR (II) YOUR BREACH OF THIS TERMS OF USE."
4077,Eklenti eklemek için tıkla
4078,Anladım
4079,Başarıyla eklendi
4080,Posta
4081,Bir posta seç
4082,Mini World Takımı
4083,Al
4084,Şuraya git
4085,Stabil olmayan ağbağlantısı. Lütfen daha sonra tekrar deneyin
4086,Geçerlilik:
4087,Gün
4088,saat
4089,Alma işlemi başarısız. Lütfen daha sonra tekrar deneyin
4090,Posta ögelerini topla
4091,Alındı
4092,Yeni e-posta yok
4093,Yeni
4094,Ekle
4095,Yeni yüklenen eklentinin etkili olmasıiçin oyunu yeniden başlatın.
4096,"Seçili eklenti: @1, ve eklenti paketi: @2"
4097,Onayla
4098,İpucu: Eklenti seçip yüklemek için Ok butonuna tıkla.
4099,Seçili eklenti: @1
4100,Seçilen eklenti paketi: @1
4101,Eklentiler yüklendi
4102,Oyuna gir
4130,Araçlar
4131,Silahlar
4132,Diğer kategoriler
4133,Ekipmanlar
4150,Hayır
4151,Evet
4152,Yakın Dövüş
4153,Uzun mezilli
4154,Patlama
4155,Yaratık
4156,Blok
4157,Yaratık ve Blok
4158,Ateşe tıkla
4159,Patlama
4200,Patlama direncj
4201,"Küplerin patlama direnci. Daha büyük bir sayı olması küplerin patlatılmasının daha zor olacağı anlamına gelir. (Örneğin: Toprak 5 ve taş 55, bu yüzden taş daha fazla darbeye dayanır. -1 yıkılmaz anlamına gelir.)"
4202,Sertlik
4203,"Küp toplamak için gereken zaman. Daha büyük bir numara daha uzun zaman anlamına gelir. (Örneği: Tahta pano 3, taş 7, bu yüzden taş toplamak daha uzun süre alır. -1 yıkılmaz anlamına gelir)"
4204,Kayan atalet
4205,"Küplerin üzerinde yürürken hızlanma değeri. Daha büyük sayı, durmanın daha zor olduğu anlamına gelir. (Örneğin: buzun hızlanma değeri büyüktür çünkü buz üzerinde yürümek kayganlaşacaktır)"
4206,Yanma Hızı
4207,"Küplerin yanma hızıDaha büyük bir numara daha yüksek bir yanma hızıanlamına gelir. (Örneğin: Odun 1, yaprak 5, yaprak daha hızlıyanar)"
4208,Yanma oranları
4209,Daha büyük sayıküp yakındaki yanan küpler tarafından tutuşturulmasıdaha kolay olduğu anlamına gelir.
4210,Işık yoğunluğu
4211,"Rakam 1’den büyük olduğunda, küp parlar. Daha büyük bir numara daha fazla parlaklık anlamına gelir."
4300,Sağlık
4301,"Yaratığın hayat değeridir. 0 olduğunda, yaratık ölür."
4302,Saldırı
4303,Yaratığın saldırısı. 1 puan hedefin yaşamının 1 hayat çizgisini azaltır.
4304,Gösterme alanı
4305,"Yaratığın görme alanı. Değer ne kadar yüksek olursa, görülen hedefin menzili o kadar uzun olur. (Örneğin: 10, yaratığın 10 kafes içinde hedef bulabileceği anlamına gelir)"
4306,Gerçekleşme sayısı:
4307,Aynıanda yakınlarda görünen maksimum canlısayısı.
4308,Yaratık yakınlaştırılıyor
4309,Yaratığın boyut değiştirme süresi. Değer arttıkça yaratığın modeli o kadar büyür.
4310,Hız
4311,"Yaratığın hareket hızı. Değer ne kadar yüksekse, o kadar hızlıhareket eder. (Standart hız 400)"
4312,Yakın dövüş savunması
4313,"Her 1 puanlık yakın dövüş savunması, 4%yakın dövüş zararıazaltır."
4314,Uzun menzilli zırh
4315,"Her 1 puanlık uzun menzil savunması, 4%uzun menzilli zararıazaltır."
4316,Patlama zırhı
4317,"Her 1 puanlık patlama savunması, 4%patlama zararıazaltır."
4400,Maksimum Yığın Sayısı
4401,Çantanın azami yığın sayısı.
4402,Bunu alet yapmak istiyor musun?
4403,Bir araç olarak fonksiyonlara ve özelliklere sahip
4404,Bunu yemek yapmak istiyor musun?
4405,Bir yemek olarak fonksiyonlara ve özelliklere sahip.
4406,Bunu mermi yapmak istiyor musun?
4407,Bir mermi olarak fonksiyonlara ve özelliklere sahip.
4408,Verimlilik efekt
4409,Araçlar ile küp toplama verimliliği bonus katsayısı. Yalnızca takım kategorisi için etkilidir.
4410,Saldırıtipi
4411,Aletin saldırıtipi.
4412,Hasar
4413,Saldırı aleti 1 puan hedefin yaşamının 1 hayat çizgisini azaltır.
4414,Sağlamlık
4415,Alet sağlamlığı. 0 olduğu zaman alet zarar görür.
4416,Yer çekimi
4417,"Havadaki roket için yerçekimi kuvveti. Değer ne kadar düşükse, o kadar uzağa gider."
4418,Hareket hızı
4419,"Uçan mermi başlangıç hızı. Değer ne kadar yüksekse, uçmasıo kadar uzaktır."
4420,Hız zayıflaması
4421,"Uçan mermi hızıazaltılır. Değer ne kadar düşükse, o kadar uzağa gider."
4422,Geri dönüştürülebilir
4423,Merminin yere düştükten sonra alınıp tekrar kullanılabileceği.
4424,Hedefi vur
4425,Merminin vurabileceği hedef türlerini kontrol eder.
4426,Tetik gecikmesi
4427,Hedefi vuran merminin etkili olmasıiçin ne kadar süre gerekir
4428,Mermi Saldırısı
4429,Mermi saldırısı 1 puan hedefin yaşamının 1 hayat çizgisini azaltır.
4430,Saldırı tipi
4431,İki saldırıtipi mermi: Nokta atışıve patlama.
4432,Kullanılan zaman
4433,Gıdayı tüketmek için gereken zaman
4434,Açlık derecesini ekle
4435,Kullandıktan sonra eklenen açlık derecesi
4436,Açlık direnci
4437,Açlık direnci kullandıktan sonra yükselir
4438,HP iyileşme
4439,Kullandıktan sonra yaşam değeri iyileşir.
4440,Doldurma zamanı
4441,Uzun menzil silahı doldurmak icin gereken zaman
4442,Kullanım tipi
4443,"Aletlerin kullanımınıkontrol eder, sadece alet tipi kullanım tipi ile uyumlu olduğu zaman etkilidir. Örneğin, uzun menzilli silahlar uzun menzilli toplama silahlarıve ateşli silahlarıile uyumlu olmalıdır. Elma gıda olarak eşleşmelidir."
4444,Hasar
4445,"Ateşli silah saldırısı, 1 puan hedefin yaşamının 1 hayat çizgisini azaltır."
4446,Çekim aralığı
4447,"Ateşli silahların ateş aralığı. Değer ne kadar yüksek olursa, sürekli ateş hızıo kadar düşük olur."
4448,Sürekli ateş
4449,Ateşli silahların sürekli ateşini kontrol eder.
4450,Mermiler
4451,Bir şarjörün aldığımermi sayısı. Sadece boş bir tanesi ile değiştirdikten sonra ateşe devam edebilirsin.
4452,Ateşleme modu
4453,Ateş kontrolü ya da tüketilen mermilerin yeniden yüklenmesi
4454,Mühimmat
4455,Mühimmat açıklaması
4456,Tüketim miktarı
4457,Tüketim miktarıaçıklaması
4458,Yer çekimi düşüşü
4459,Yer çekimi düşüş açıklaması
4460,Küp düşüşü
4461,Eşyaları bırak
4462,Eşyaları bırakmanın açıklaması
4463,"Bir küpün geçilip geçilemeyeceğini kontrol etme: Hava- Geçilebilir, Katı- Geçilemez, Sıvı- Geçilebilir (hızı yavaşlatacaktır) ya da sadece mermilerle delinebilir."
4464,Hava
4465,Geçilebilir
4466,Katı
4467,Geçilmez
4468,Sıvı
4469,Geçilebilir ama hızıyavaşlatacaktır
4470,Mermileri engellemez
4471,Sadece mermiler ile doğrudan geçilebilir
4472,Tüketim yok
4473,Yeniden yükleme tüketime yol açmaz
4474,Sınırlı Mühimmat
4475,Ateş edebilmek için mühimmata ihtiyaç var
4476,Sınırsız mühimmat
4477,Ateş etmek mühimmatı azaltmaz
4478,Eşya türü
4479,Küpler
4480,Ivır Zıvır
4481,Araç
4482,Bir eşya seti
4483,Canavarlar
4484,UID
4485,Yay
4486,Mühimmat/Misil
4487,Ekipmanlar
4488,Silahlar
4489,Gıda
4490,Aletler ve mermiler
4491,Küpler ve gıdalar
4492,Küpler ve gıdalar
4493,Öğe tipi 15
4494,Öğe tipi 16
4495,Öğe tipi 17
4496,Öğe tipi 18
4497,Öğe tipi 19
4498,Öğe tipi 20
4499,Öğe tipi 21
4500,Hayır
4501,Evet
4502,Yakın Dövüş ile yapıldı
4503,Uzakta
4504,Patlama
4505,Çarpışma (Yaratıklar)
4506,Çarpışma (Küpler)
4507,Yaratıklar ve küpler
4508,Tekli vuruş
4509,Patlama
4510,Sıradan araçlar
4511,Hedef küpe tıkla
4512,Sıvıküpe tıkla
4513,Kullanım düğmesine tıkla
4514,Menzil silahı(Yay)
4515,Gıda
4516,Çanta kullanımı
4517,Depo içinde kullanın
4518,Uzun menzil silahı(Silah)
4519,Ödeme sistemi açık değil. Ödeme sistemini kullanmak için GooglePlay Store ya da Apple Store üzerinden mobil sürümünü indirin
4520,Yükleme yakında açılıyor.
4521,@Null@
4522,"Alışverişten yoruldum, ara vermek için çevirimiçi işbirlikçi olarak alışveriş yapmanı tavsiye ederim."
4523,Lütfen öncelikleİş Yükleme Kullanıcısözleşmesini ve Galeriyi kabul edin
4530,Melisa
4531,Orta
4532,Long
4533,Az
4534,Orta
4535,Daha Fazla
4536,Düşük
4537,Orta
4538,Yüksek
4539,Yavaş
4540,Orta
4541,Hızlı
4542,Mühimmat seç
4543,Ön ayar
4544,Özel
4545,Mühimmat seç
4546,Ön ayar
4547,Özel
4548,İpucu: Düzenle modunda önce Pakete ardından Düzenleye tıklayarak yeni özel pervane bulunabilir
4549,Küpün görünümünü seçin
4550,Maksimum yığın sayısı
4551,Saldırızaman harcamasına yol açacaktır
4552,Araç türü
4553,Yok
4554,Balta
4555,Kazıcı
4556,Kürek
4557,Makas
4558,@Null@
4559,@Null@
4560,@Null@
4561,@Null@
4562,@Null@
4563,Alet seviyesi
4564,Toplama işlemi dayanıklılığın azalmasına sebep olur.
4565,Materyalleri onar
4566,Değer geri yükleniyor
4567,Başlangıç hız bonusu
4568,Fırlatılabilir
4569,Doldurma modu
4570,Normal doldurma
4571,Maksimum hızda doldur
4572,Yüklemeye gerek yok
4573,Fırlatma aralığı
4574,Silah tipi
4575,Tabanca
4576,Hafif makineli tüfek
4577,Sniper tüfeği
4578,Makineli silah
4579,Av tüfeği ile yapıldı
4580,Silah tipi 6
4581,Silah tipi 7
4582,Silah tipi 8
4583,Silah tipi 9
4584,Silah tipi 10
4585,Ağırlık
4586,Temel Özellik
4587,Özellik toplanıyor
4588,Süre özelliği
4589,Uçan nesne özelliği
4590,Özel eşya oluştur
4591,Lütfen oluşturmak için eşya tipi seçin
4592,Lütfen bir eşya türü seçin
4593,Fırlatma aralığı
4594,"Silah türü geriye itme, ses efekti ve yangınıyangın fx etkiler."
4595,"Alet türü ve seviyesi, toplayabileceği küp türlerini etkileyebilir, örneğin kazıcıile, seviye 1’de taş, seviye 2’de demir cevheri, seviye 3’de altın cevheri toplanır."
4596,Mermi tarafından Kırılmış
4597,Küpü kır
4598,Çekim modu bilgisi
4599,Manuel
4600,Yarım Otomatik
4601,Tam otomatik
4602,Küpleri topla
4603,Açlık noktası>= #c0aaa1a%s#n olduğunda #c0aaa1a%s#n hızında #c0aaa1a%s#n
4604,Yürütme olasılığı
4605,Arama aralığı
4606,Hedef toplanıyor
4607,Hedef olgunsa
4608,Hareket hızı
4609,Açlık noktası belirleniyor
4610,Açlık tüketimi
4611,Nokta /ikinci
4612,Almak
4613,"Açlık noktası>= #c0aaa1a%s#n olduğunda, #c0aaa1a%s#n yakındaki #c0aaa1a%s#n Eşyasını seçmek için toplanır."
4614,Hedefi al
4615,Miktar tutan
4616,Depolama
4617,"Açlık noktası >= #c0aaa1a%s#n olduğunda ve #c0aaa1a%s#n >= #c0aaa1a%s#n miktarında, #c0aaa1a%s#n olasılığı #c0aaa1a%s#n te saklanır."
4618,Saklamak için Eşya
4619,Eşya Sayısı
4620,Hedef kaydetme
4621,Konteyner seç
4622,Kategori 1
4623,Kategori 2
4624,Kategori 3
4625,Kategori 4
4626,Ekmek
4627,"Açlık noktası>= #c0aaa1a%s#n olduğunda #c0aaa1a%s#n oranında, #c0aaa1a%s#n için #c0aaa1a%s#n"
4628,Hedef blok
4629,Eşya kullan
4630,Eşya seç
4631,Eşya kullan
4632,Kategori 2
4633,Kategori 3
4634,Kategori 4
4635,Bekçi
4636,Açlık noktası> #c0aaa1a%s#n olduğunda #c0aaa1a%s#n üzerinde koruma sağlamak için #c0aaa1a%s#n oranı vardır
4637,Koruma bloğu
4638,Almak
4639,"açlık noktası>= #c0aaa1a%s#n, tutma miktarı #c0aaa1a%s#n ulaşıncaya kadar, #c0aaa1a%s#n almaya #c0aaa1a%s#n neaby dan #c0aaa1a%s#n bir oran olduğunda"
4640,Konteyner seç
4641,Eşya alınıyor
4642,Eşya Miktarı
4643,Zanaat
4644,"Açlık noktası>= #c0aaa1a%s#n olduğunda, #c0aaa1a%s#n için #c0aaa1a%s#n oranında bir oran vardır"
4645,Tarif seçimi
4646,İşçilik zamanı
4647,Tarif seçimi
4648,Uyku
4649,#c0aaa1a%s#n zamanında uyku için #c0aaa1a%s#n bir ücret ve #c0aaa1a%s#n saat sürecek
4650,Uyuma vakti
4651,Uyku süresi
4652,Uyuyan yer
4653,saat
4654,Aç
4655,"Açlık noktası <#c0aaa1a%s#n olduğunda, oturun."
4656,Açlık noktası tespiti
4657,Süre
4658,Seçici yiyen
4659,Gıda gerekli
4660,Gıda seçimi
4661,@Null@
4662,@Null@
4663,@Null@
4664,@Null@
4665,Yemek
4666,"Açlık noktası <=#c0aaa1a%s#n olduğunda, pakette yemek yiyin. Envanterde yiyecek yoksa, üzül ve iç çek"
4667,Seçici yiyen
4668,Gıda seçimi
4669,saldırı
4670,"Ne zaman açlık noktası ##c0aaa1a%s#n, #c0aaa1a%s#n hızında #c0aaa1a%s#n kanala kadar #c0aaa1a%s#n"
4671,Hedef seç
4672,Numara
4673,İster yetiştirilmiş olsun
4674,Doğurmak
4675,"Ne zaman açlık noktası ##c0aaa1a%s#n, #c0aaa1a%s#n hızında #c0aaa1a%s#n #c0aaa1a%s#n ile beslenir"
4676,Hedef seç
4677,Hedefin türetilebileceği
4678,Eşyayı kullan
4679,Eşyayı seçin
4680,Eşyayı kullan
4681,@Null@
4682,@Null@
4683,@Null@
4684,Konteyner seç
4685,konteyner
4686,Blok seç
4687,Blok
4688,@Null@
4689,@Null@
4690,@Null@
4691,Tarif seçimi
4692,Dokunduğunda patlayacak.
4693,Tetikleyici Değil
4694,Araç Kutusunda aşağıdaki Eşyaları işleyin
4699,@Null@
4700,Bu eklentileri silmek istediğinden emin misin?
4701,Genel (Tümü)
4702,Hayatta Kalma
4703,Oluşturma
4704,Savaş
4705,Devre
4706,Yapboz
4707,Parkur
4708,Diğer
4709,Modeller
4710,Arkadaş
4711,Oyunda
4712,Çevrimiçi
4713,Bağlantıkesiliyor...
4714,UID: @1
4715,Çevrimiçi
4716,Çevrimdışı
4717,Gönder
4718,#c49463FLütfen şifrenizi ve kişisel bilgilerinizi paylaşmayın
4719,Mini arkadaşlar
4720,Mobil telefondaki arkadaşlar
4721,Yakınlardakiler
4722,Takiplerim
4723,Arkadaş
4724,Görünüm
4725,QR kodum
4726,Tara
4727,Mesaj: @1
4728,Arkadaş isteğiniz gönderildi.
4729,İşlem başarısız. Lütfen daha sonra tekrar deneyin
4730,Arkadaş oldunuz
4731,Tümünü temizle
4732,Hepsini temizlemek istediğinizden emin misin?
4733,Mesajın yok
4734,Arkadaş daveti
4735,Mini Kaptan
4736,Gönderme işlemi başarısız. Lütfen daha sonra tekrar deneyin
4737,Yanlış numara
4738,Takip et
4739,Böyle bir kullanıcı yok
4740,Zaten arkadaşın
4741,Arkadaş sayısıüst limite ulaştı
4742,Onayla
4743,Uygunsuz Avatar
4744,Uygunsuz içerik yayınlandı..
4745,Başarıyla rapor edildi
4746,Fonksiyon çok yakında
4747,Ara
4748,@1 metrede daha az uzaktasın
4749,Yakınlarda oyuncu yok
4750,Daha fazla yükle
4751,Başlatma başarısız
4752,Başarıyla takip edildi
4753,Takip işlemi başarıyla bırakıldı
4754,Kimseyi takip etmiyorsun
4755,Takip etmeyi bırak
4756,Detayları göster
4757,UID: Kullanım dışı
4758,Mini World üzerindeki bir çok oyuncu sizi bekliyor! http://miniworldgame.com/
4759,Cep telefonu kişi listesi boş
4760,"İzin talebi: Mobil arkadaşlarınla oynayabilmek için, Ayarlar - Uygulamalar - Mini World- Kişiler üzerinden izni açın."
4761,"İzin talebi Mobil Kişiler fonksiyonunu kullanmak için, lütfen Ayarlar-Mini World-Kişiler üzerinden izni açın"
4762,İzin talebi Yakındakiler fonksiyonunu kullanmak için lütfen Ayarlar-Uygulamalar-Mini World bölümünden konumunuzu açın
4763,İzin talebi Yakındakiler fonksiyonunu kullanmak için lütfen Ayarlar-Mini World bölümünden konumunuzu açın
4764,"●Arkadaş sistemi işlevi güncellendi! #r#r 1. Arkadaş takip işlevini eklendi, istediğiniz zaman arkadaşınızın çevrimiçi odasına katılabilirsiniz. #r#r 2. Sohbet sistemi, arkadaşlarla sohbet etmeyi kolaylaştırmak için optimize edilmiştir. #r#r 3. Oyun içi paylaşım işlevi eklendi, bir deneyin. #r#r 4. Yeni kara liste eklendi, odanda yaramazlık yapan oyuncu çıkarılabilir, ve o kişi bir daha odana giremez."
4765,Yardım
4766,Bence harika! Sanırım bunu seveceksin. http://miniworldgame.com/
4767,Mini World
4768,Bence harika! Sanırım bunu seveceksin.
4769,Durdur
4770,Materyal
4771,Kilidi aç
4772,Kullanmaya gidin
4773,Kilit açma başarılı
4774,Kilit açma başarısız.
4775,Mini Fasulye yeterli değil
4776,Doku ayarları.
4777,Doku
4778,Giriş
4779,Varsayılan doku paketi
4780,Mini World Yetkilisi
4781,Doku paketi kilidi açık değil. Kilidini açmak için lütfen Galeriye gidin
4782,Doku paketi kilidi açık değil. Varsayılan doku paketi kullanılır
4783,İndirilen haritanın doku paketini değiştiremezsin
4784,Doku paketini seçmek için buraya tıkla!
4785,Eklenti yükleme başarısız.
4786,Karakter
4787,Görünüm
4788,@Null@
4789,@Null@
4790,@Null@
4791,@Null@
4792,@Null@
4793,@Null@
4794,@Null@
4795,@Null@
4796,@Null@
4797,@Null@
4798,@Null@
4799,Oku
4800,Hasat
4801,Araç
4802,Madde
4803,Küp
4804,Savaş
4805,Minik
4806,Küçük
4807,Normal
4808,Büyük
4809,Büyük
4810,Çok yavaş
4811,Yavaş
4812,Hızlı
4813,Çok hızlı
4814,Yakın Dövüş ile yapıldı
4815,Orta Mesafe
4816,Uzun Mesafe
4817,Yakın
4818,Orta
4819,Uzak
4820,Saldırı tercihleri
4821,Saldırıyan etkileri
4822,3) Yeşil Takım
4823,4) SarıTakım
4824,5) Turuncu Takım
4825,6) Mor Takım
4826,Saldırı yöntemini değiştir
4827,@Null@
4828,@Null@
4829,@Null@
4830,@Null@
4831,@Null@
4832,@Null@
4833,Bir yaratığın kampını kurun Yaratık aynı kamptaki diğer yaratıklara ve oyunculara saldırmaz ve ona zarar vermez. Ev sahibi varsayılan olarak kırmızı takıma geçer.
4834,Sürüm çok düşük
4835,Şarj limiti üst limite ulaştı. Mülkünüzün güvenliğini korumak için lütfen önce gerçek ad doğrulaması yapın
4836,@Null@
4837,@Null@
4838,İptal
4839,Çıkar
4840,Lütfen doğum tarihinizi seçin
4841,İpucu: Kişisel özel bilgileri paylaşmayın
4842,On üç yaşından küçük bir yaş belirlediniz ve bu özelliği kullanamazsınız
4843,yıl
4844,ay
4845,"(Lütfen ayrıntıları dikkatli bir şekilde doldurun, onayladıktan sonra değiştiremezsiniz)"
4846,"Minyatür modeller, arazi blokları için geçici olarak kullanılamıyor"
4847,Etkinlik süresince değil. Kullanılamaz
4848,@Null@
4849,Yeniden doldurma işlevi geçici olarak kullanılamıyor
4850,Ocak
4851,Şubat
4852,Mart
4853,Nisan
4854,Mayıs
4855,Haziran
4856,Temmuz
4857,Ağustos
4858,Eylül
4859,Ekim
4860,Kasım
4861,Aralık
4862,<
4863,@Null@
4864,@Null@
4865,@Null@
4866,"@2 kopya @3 kullanmak için @1 tüketeceksiniz, lütfen onaylayın"
4867,Mini Hazine
4868,Alınan:
4869,Değişim Kaydı
4870,Değişim sayısı
4871,Eşya
4872,Zaman
4873,Miktar
4874,Maliyet
4875,Miktar Onayı
4876,Geçerli
4877,Değiştir
4878,Değişim Onayı
4879,elde etmek
4880,Lütfen bir seçim yapın
4881,Beceri bekleme süresinde
4882,Giriş
4883,Çıkış
4884,UID için başvur
4885,Lütfen bir tam sayı girin
4886,Bir oyun daha
4887,Katıl
4888,Oda sahibi sizi bir oyun daha oynamaya davet ediyor.
