id,德语
4302,Angriff
4303,ATK von Kreaturen. 1 punkt reduziert 1 Lebensgitter des Ziels
4304,Gesichtsfeld
4305,"Visuelle Reichweite der Kreatur. Je größer der Wert, desto weiter ist das Sichtfeld der Kreatur. (Beispiel: 10 bedeutet, die Kreatur kann Ziele im Umkreis von 10 Gittern finden)"
4306,Vorkommen
4307,"Die maximale Anzahl von Kreaturen der selben Gattung, die zur selben Zeit nahe voneinander auftauchen."
4308,Kreaturen Zoom
4309,"Größenänderung der Kreatur. Je größer der Wert, desto größer die Kreatur."
4310,Geschwindigkeit
4311,"Bewegungsgeschwindigkeit der Kreatur. Je größer der Wert, desto schneller ist die Kreatur. (Standardgeschwindigkeit ist 400)"
4312,Nahkampf Verteidigung
4313,Jeder Punkt den du durch Nahkampfverteidigung erhältst reduziert Nahkampfschaden um 4%
4314,Waffen mit großer Reichweite
4315,"Jeder Punkt den du durch Verteidigung aus großer Reichweite erhältst, reduziert die Schäden von großer Reichweite um 4%"
4316,Bombenpanzer
4317,"Jeder Punkt den du durch die Verteidigung gegen Explosionen erhältst, reduziert Explosionsschäden um 4%"
4400,Maximale Anzahl an Stapeln
4401,Die maximale Stapelanzahl an Stützen in deinem Rucksack
4402,Werkzeug oder nicht?
4403,Als ein Werkzeug kann es die Funktionen und Einsatzgebiete von Werkzeugen konfigurieren
4404,Essen oder nicht?
4405,Als Essen kann es die Funktionen und Einsatzgebiete von Essen konfigurieren
4406,Als Projektil oder nicht
4407,Als Projektil kann es die Funktionen und Einsatzgebiete von Projektilen konfigurieren
4408,Effizienzliebhaber
4409,Effizienzbonus für das Sammeln von Würfeln mit Werkzeugen. Nur für die Werkzeug-Kategorie effektiv
4410,ATK Typ
4411,Angriffstyp des Werkzeugs
4412,Angriff
4413,ATK des Werkzeugs. 1 Punkt reduziert 1 Lebensgitter des Ziels
4414,Ausdauer
4415,Werkzeug-Ausdauer. Wenn der Wert auf 0 fällt ist das Werkzeug beschädigt
4416,Erdanziehung
4417,"Die Erdanziehung in Bezug auf fliegende Projektile. Je kleiner der Wert, desto weiter fliegt es"
4418,Spitzengeschwindigkeit
4419,"Geschwindigkeit des fliegenden Projektils. Je größer der Wert, desto weiter fliegt es."
4420,Geschwindigkeitsdämpfung
4421,"Geschwindigkeitsreduktion von fliegenden Projektilen. Je kleiner der Wert, desto weiter fliegt es."
4422,Wiederverwertbar
4423,"Entscheided, ob das Projektil nochmals verwendet werden kann."
4424,Ziel Treffer
4425,Kontrolliert die Zieltypen die das Projektil trifft
4426,Abzugsverspätung
4427,"Bestimmt die Zeit die es benötigt, einen Effekt hervorzurufen, nachdem das Projetil das Ziel getroffen hat"
4428,Projektil ATK
4429,ATK des Projektils. 1 Punkt reduziert 1 Lebensgitter des Ziels.
4430,Angriffstyp
4431,Zwei Angriffstypen von Projektilen: Punktschießen und Explosion.
4432,Servicezeit
4433,Benutze Zeit des Essens.
4434,Heilungssättigung
4435,Hunger erhöht nach der Einnahme.
4436,Ausdauer heilen
4437,Die Hungerdauer ist nach Einnahme erhöht.
4438,KP-Wiederherstellung
4439,Lebenswert nach Gebrauch wiederhergestellt.
4440,Ladezeit
4441,Akkumulationszeit für Langstrecken-Akkumulationswaffe.
4442,Typ verwenden
4443,"Steuert die Verwendung von Werkzeugen und wirkt sich nur dann aus, wenn der Werkzeugtyp mit dem Verwendungstyp übereinstimmt. 
Beispielsweise sollten Langstreckenwaffen mit Langstreckenakkumulationswaffen oder Feuerwaffen übereinstimmen. Der Apfel sollte zum Essen passen."
4444,Schaden
4445,ATK der Feuerwaffe. 1 Punkt reduziert 1 Gitter des Lebens des Ziels.
4446,Schießintervall
4447,"Schießintervall der Feuerwaffen. Je größer der Wert, desto geringer die kontinuierliche Feuergeschwindigkeit."
4448,Dauerfeuer
4449,"Kontrolliert, ob die Feuerwaffen kontinuierlich feuern können."
4450,Geschosse
4451,"Anzahl der Kugeln in einem Magazin. Du kannst nur dann mit dem Schießen fortfahren, wenn du ein leeres Magazin gewechselt hast."
4452,Feuermodus
4453,Ob Schusskontrolle oder Nachladen Geschosse verbraucht
4454,Munition
4455,Beschreibung der Munition
4456,Verbrauchsmenge
4457,Beschreibung der Verbrauchsmenge
4458,Gravitationsfall
4459,Beschreibung des Gravitationsfalles
4460,Würfeltropfen
4461,Beschreibung des Würfeltropfens
4462,Absturzart
4463,"Kontrolliere, ob ein Würfel durchgelassen werden kann: Luftdurchlässig; Feststoff-undurchlässig; Flüssigdurchlässig, verlangsamt aber die Geschwindigkeit; kann nur von Projektilen durchquert werden."
4464,Luft
4465,Durchlässig
4466,Fest
4467,Undurchlässig
4468,Flüssig
4469,"Durchlässig, verlangsamt aber die Geschwindigkeit"
4470,Es behindert keine Projektile
4471,Kann nur von Projektilen durchquert werden
4472,Kein Verbrauch
4473,Nachladen hat keinen Verbrauch
4474,Verbrauch
4475,Nachladen verbraucht Materialien
4476,Unbegrenzte Schusszahl
4477,Schießen hat keinen Verbrauch
4478,Itemtyp
4479,Würfel
4480,Gemischtwaren
4481,Werkzeug
4482,Ein Satz von Items
4483,Monster
4484,UID
4485,Bogen
4486,Munition/Projektil
4487,Ausrüstungen
4488,Gewehre
4489,Essen
4490,Werkzeuge&Projektil
4491,Werkzeuge&Nahrung
4492,Würfel&Nahrung
4493,@Null@
4494,@Null@
4495,@Null@
4496,@Null@
4497,@Null@
4498,@Null@
4499,@Null@
4500,Nein
4501,Ja
4502,Nahkampf
4503,Fernsteuerung
4504,Explosion
4505,Kollisionskreaturen
4506,Kollisionswürfel
4507,Kreaturen und Würfel
4508,Berührungsschuss
4509,Explosion
4510,Gewöhnliche Werkzeuge
4511,Tippe auf Zielwürfel
4512,Tippe Flüssigwürfel
4513,Tippe Verwenden-Button
4514,Fernkampfwaffe (Bogen)
4515,Essen
4516,Rucksackgebrauch
4517,Verwendung im Pack
4518,Langstreckenwaffe (Gewehr)
4519,Der Shop ist derzeit geschlossen. Öffne den Google Play Store/App Store zum aufladen.
4520,Wiederaufladung öffnet bald
4521,@Null@
4522,"Müde nach dem Spaziergang. Ruhe dich aus. Es wird empfohlen, mit mehr Leuten online zu schlendern"
4523,"Bitte prüfe zuerst, ob du die Nutzungsbedingungen für das Hochladen von Werken und Galerie akzeptierst"
4530,Kurz
4531,Mittel
4532,Lang
4533,Weniger
4534,Mittel
4535,Mehr
4536,Niedrig
4537,Mittel
4538,Hoch
4539,Langsam
4540,Mittel
4541,Schnell
4542,Munition auswählen
4543,Voreingestellt
4544,Benutzerdefiniert
4545,Munition auswählen
4546,Voreingestellt
4547,Benutzerdefiniert
4548,"Tipp: Benutzerdefinierte neue Stützen kann man finden, indem man auf Paket und dann Bearbeiten im Bearbeitungsmodus klickt"
4549,Das Erscheinungsbild des Würfels auswählen
4550,Max. Anzahl für Stapel
4551,Angriffe kosten Dauerhaftigkeit
4552,Werkzeugtyp
4553,Keine
4554,Axt
4555,Spitzhacke
4556,Schaufel
4557,Schere
4558,@Null@
4559,@Null@
4560,@Null@
4561,@Null@
4562,@Null@
4563,Werkzeugstufe
4564,Sammeln kostet Dauerhaftigkeit
4565,Wiederherstellungsmaterialien
4566,Wiederherstellungswert
4567,Anfangsgeschwindigkeitsbonus
4568,Werfbar
4569,Lademodus
4570,Normales Laden
4571,Wurf bei max Aufladung
4572,Kein Aufladen erforderlich
4573,Wurfweite
4574,Waffentyp
4575,Pistole
4576,Maschinenpistole
4577,Scharfschützengewehr
4578,Maschinengewehr
4579,Schrotflinte
4580,@Null@
4581,@Null@
4582,@Null@
4583,@Null@
4584,@Null@
4585,Gewicht
4586,Standardattribute
4587,Sammelattribut
4588,Zeitdauerattribut
4589,Flugobjektattribut
4590,Benutzerdefiniertes Item erstellen
4591,Bitte einen Item-Typ zum Erstellen auswählen
4592,Bitte einen Item-Typ auswählen
4593,Wurfweite
4594,"Der Waffentyp beeinflusst den Rückwärtsimpuls, den Soundeffekt und den Feuer fx."
4595,"Der Werkzeugtyp und seine Stufe können die Arten von Würfeln beeinflussen, die er sammeln kann, z.B. Spitzhacke, Stufe 1 kann Steine sammeln, Stufe 2 Eisenerze, Stufe 3 Golderze."
4596,Zerbrochen von der Projektil
4597,Zerbreche den Block
4598,Informationen zum Aufnahmemodus
4599,Handbuch
4600,Halbautomatisch
4601,Total automatisch
4602,Sammle Würfel
4603,"Wenn der Punkt Hunger>= #c0aaa1a%s#n, mit einer Rate von #c0aaa1a%s#n sammeln #c0aaa1a%s#n schließen"
4604,Wahrscheinlichkeit der Ausführung
4605,Suchbereich
4606,Akquisitionsziel
4607,Wenn das Ziel reif ist
4608,Bewegungsgeschwindigkeit
4609,Richter Hunger
4610,Hungerkonsum
4611,Punkt /Sekunde
4612,Abholen
4613,"Wenn der Hungerpunkt>= #c0aaa1a%s#n ist, gibt es eine Rate von #c0aaa1a%s#n, um #c0aaa1a%s#n in der Nähe auszuwählen, bis er gesammelt wurde #c0aaa1a%s#n"
4614,Ziel aufnehmen
4615,Haltequantität
4616,Lager
4617,"Wenn der Hungerpunkt>= #c0aaa1a%s#n, und die Menge von #c0aaa1a%s#n >= #c0aaa1a%s#n, besteht eine Wahrscheinlichkeit von #c0aaa1a%s#n es in #c0aaa1a%s#n zu speichern."
4618,Zu speichernder Artikel
4619,Artikelnummer
4620,Ziel speichern
4621,Container auswählen
4622,@Null@
4623,@Null@
4624,@Null@
4625,@Null@
4626,Pflanze
4627,"Wenn der Hungerpunkt>= #c0aaa1a%s#n ist, wird in einer Rate von #c0aaa1a%s#n #c0aaa1a%s#n bis #c0aaa1a%s#n verwendet"
4628,Zielblock
4629,Gegenstand benutzen
4630,Artikelauswahl
4631,Gegenstand benutzen
4632,@Null@
4633,@Null@
4634,@Null@
4635,Bewachen
4636,"Wenn der Hungerpunkt> #c0aaa1a%s#n ist, gibt es eine Rate von #c0aaa1a%s#n, um auf #c0aaa1a%s#n zu wachen"
4637,Schutzblock
4638,Nimm
4639,"Wenn hunger point>= #c0aaa1a%s#n, gibt es eine Rate von #c0aaa1a%s#n von #c0aaa1a%s#n neaby bis #c0aaa1a%s#n, bis die Hold-Menge #c0aaa1a%s#n erreicht"
4640,Container auswählen
4641,Artikel nehmen
4642,Artikel Menge
4643,Zusammenfügen
4644,"Wenn Hungerpunkt>= #c0aaa1a%s#n ist, gibt es eine Rate von #c0aaa1a%s#n zum Fertigen #c0aaa1a%s#n"
4645,Rezept auswählen
4646,Zusammenfügenszeit
4647,Rezept auswählen
4648,Schlaf
4649,"Es gibt eine Rate von #c0aaa1a%s#n zum Schlafen von #c0aaa1a%s#n, und das Schlafen wird für #c0aaa1a%s#n Stunden dauern"
4650,Schlafenszeit
4651,Schlafdauer
4652,Schlafplatz
4653,Uhr
4654,Hungrig
4655,"Wenn der Hungerpunkt <#c0aaa1a%s#n ist, setze dich still."
4656,Hunger Punkt Erkennung
4657,Dauer
4658,Wählerischer Esser
4659,Essen benötigt
4660,Essen auswählen
4661,@Null@
4662,@Null@
4663,@Null@
4664,@Null@
4665,Essen 
4666,"Wenn der Hungerpunkt <=#c0aaa1a%s#n ist, iss Nahrung in der Packung, wenn kein Essen im Inventar ist, traurig und seufzen"
4667,Wählerischer Esser
4668,Essen auswählen
4669,Attacke
4670,"Wenn hunger point> #c0aaa1a%s#n, in einer Rate von #c0aaa1a%s#n angreift #c0aaa1a%s#n, bis die Zahl unter #c0aaa1a%s#n"
4671,Zielauswahl
4672,Nummer
4673,Ob gezüchtet
4674,Rasse
4675,"Wenn hunger point> #c0aaa1a%s#n, in einer Rate von #c0aaa1a%s#n zum Feed #c0aaa1a%s#n mit #c0aaa1a%s#n"
4676,Zielauswahl
4677,Ob das Ziel züchten kann
4678,Gegenstand benutzen
4679,Artikelauswahl
4680,Gegenstand benutzen
4681,@Null@
4682,@Null@
4683,@Null@
4684,Container auswählen
4685,Container
4686,Blockauswahl
4687,Block
4688,@Null@
4689,@Null@
4690,@Null@
4691,Rezept auswählen
4692,Sofort auslösen
4693,Nicht auslösen
4694,Fügen Sie folgende Elemente in der Werkzeugkiste zusammen.
4699,@Null@
4700,"Sicher, diese Plugins zu löschen?"
4701,Allgemein (alle)
4702,Überleben
4703,Kreation
4704,Kampf
4705,Schaltung
4706,Puzzle
4707,Parkour
4708,Andere
4709,Modelle
4710,Freund
4711,Während dem Spiel
4712,Online
4713,Verbindung trennen...
4714,UID: @1
4715,Online
4716,Offline
4717,Senden
4718,#c49463FBitte teilen Sie Ihr Passwort und Ihre persönlichen Daten nicht an
4719,Mini Freunde
4720,Freunde auf dem Handy
4721,In der Nähe
4722,Ich folge
4723,Freund
4724,Ansehen
4725,Mein QR-Code
4726,Scannen
4727,Nachricht: @1
4728,Deine Freundschaftsanfrage wird gesendet.
4729,Operation fehlgeschlagen Bitte später erneut versuchen
4730,Jetzt seid ihr Freunde
4731,Alle löschen
4732,Wirklich alle löschen?
4733,Du hast jetzt keine Nachricht
4734,Freundschaftsanfrage
4735,Mini Kapitän
4736,Versenden fehlgeschlagen. Bitte später erneut versuchen
4737,Falsche Nummer
4738,Folgen
4739,User existiert nicht
4740,Er/Sie ist bereits dein Freund
4741,Anzahl der Freunde erreicht Limit
4742,Absenden
4743,Avatar der Verletzung
4744,Verstöße gegen veröffentlichte Inhalte
4745,Erfolgreich gemeldet
4746,Funktion kommt bald
4747,Suche
4748,Du bist weniger als @1m voneinander entfernt
4749,Keine Spieler in der Nähe
4750,Mehr laden
4751,Starten fehlgeschlagen
4752,Erfolgreich gefolgt
4753,Folgen erfolgreich aufgehoben
4754,Du folgst niemandem
4755,Nicht folgen
4756,Details ansehen
4757,UID: nicht verfügbar
4758,Viele Spieler erwarten dich jetzt in MiniWorld! http://miniworldgame.com/
4759,Die Kontaktliste deines Handys ist leer
4760,"Genehmigungsanfrage
Um die Funktionalität von Handyfreunden nutzen zu können, schalte bitte die Berechtigung in Einstellungen-Apps-MiniWorld-Kontakte ein."
4761,"Genehmigungsanfrage
Um die Handyfreunde-Funktionalität zu nutzen, schalte bitte die Erlaubnis der Kontakte in Einstellungen-MiniWorld ein."
4762,"Genehmigungsanfrage
Um die In der Nähe-Funktionalität nutzen zu können, schalte bitte die Berechtigung in Einstellungen-Apps-MiniWorld-Standort ein."
4763,"Genehmigungsanfrage
Um die In der Nähe-Funktionalität zu nutzen, schalte bitte die Erlaubnis Deines Standortes in Einstellungen-MiniWorld ein."
4764,"Freunde-Funktion#r#raktualisiert 1. Freundes Tracking, beitreten Sie jederzeit den Multiplayer-Raum von Freunden.#r#r 2. Optimiertes Chatsystem #r#r 3.Freigabe von Spielfreigaben jetzt ausprobieren!#r#r4. Blacklist: Diejenigen, die Ihre Blacklist betreten, können sich nicht Ihrem Multiplayer-Raum anschließen"
4765,Hilfe
4766,"Ich finde es erstaunlich! Ich glaube, es wird dir gefallen. http://miniworldgame.com/"
4767,MiniWorld
4768,"Ich finde es erstaunlich! Ich glaube, es wird dir gefallen."
4769,Pause
4770,Material
4771,Freischalten
4772,Anwenden
4773,Erfolg freischalten
4774,Freischaltung fehlgeschlagen
4775,Deine Mini Bohnen sind nicht genug
4776,Textur
4777,Textur
4778,Eingabe
4779,Standard-Texturpaket
4780,MiniWorld Autorität
4781,"Texturpaket ist nicht freigeschaltet. Bitte gehe zur Galerie, um die Freischaltung zu aktivieren"
4782,Texturpaket ist nicht freigeschaltet. Standard-Texturpaket wird verwendet
4783,Das Texturpaket der heruntergeladenen Karte kann nicht verändert werden
4784,"Hier tippen, um Texturpakete auszuwählen!"
4785,Plugin-Upload fehlgeschlagen.
4786,Charakter
4787,Haut
4788,Pferd
4789,@Null@
4790,@Null@
4791,@Null@
4792,@Null@
4793,@Null@
4794,@Null@
4795,@Null@
4796,@Null@
4797,@Null@
4798,@Null@
4799,Lesen
4800,Freistellen
4801,Werkzeug
4802,Gemischtwaren
4803,Würfel
4804,Schlacht
4805,Winzig
4806,Klein
4807,Normal
4808,Groß
4809,Sehr groß
4810,Sehr langsam
4811,langsam
4812,schnell
4813,sehr schnell
4814,Nahkampf
4815,Mittig
4816,Bereich
4817,nahe
4818,Mittig
4819,weit
4820,Bevorzugter Angriff
4821,Nebenwirkung eines Angriffs
4822,3. Grünes Team
4823,4. Gelbes Team
4824,5. Oranges Team
4825,6. Violettes Team
4826,Angriffsmodus ändern
4827,@Null@
4828,@Null@
4829,@Null@
4830,@Null@
4831,@Null@
4832,@Null@
4833,Wähle eine Gruppe für diese Kreatur. Es würde weder Kreaturen/Spieler derselben Gruppe angreifen noch ihnen Schaden zufügen. Raumbesitzer gehört standardmäßig zum Roten Team.
4834,@Null@
4835,@Null@
4836,@Null@
4837,@Null@
4838,Abbrechen
4839,Auszug
4840,Dein Geburtstag
4841,Tipps: Bitte kümmern Sie sich um Ihre persönlichen Informationen.
4842,Dies ist nicht für Sie verfügbar.
4843,Jahr
4844,Monat
4845,"(Bitte füllen Sie sorgfältig im Detail, können Sie nicht nach bestätigen ändern)"
4846,Sie können keine Miniatur auf Terrainwürfel anwenden
4847,Nicht während der Ereigniszeit. Kann nicht verwendet werden
4848,@Null@
4849,Der Shop ist vorübergehend geschlossen
4850,Jan
4851,Feb
4852,Beschädigen
4853,Apr
4854,Mai
4855,Juni
4856,Juli
4857,Aug
4858,Sep.
4859,Okt.
4860,Nov
4861,Dez.
4862,<
4863,@Null@
4864,@Null@
4865,@Null@
4866,Verwenden @1 auszutauschen  @2 x @3. Bestätigen?
4867,Mini Treasury
4868,Besitzen:
4869,Aufzeichnung
4870,Wechselzeiten
4871,Artikel
4872,Zeit
4873,Anz
4874,Kosten
4875,Anzahl Bestätigen
4876,Verfügbar
4877,Austausch
4878,Austausch bestätigen
4879,Erhalten
4880,Bitte auswahlen
4881,Abklingzeit der Fähigkeit
4882,Login
4883,Beenden
4884,UID beantragen
4885,Bitte eine ganze Zahl eingeben
4886,Noch ein Spiel
4887,Teilnehmen
4888,"Raumbesitzer lädt dich ein, ein weiteres Spiel zu spielen."
4889,"Der Raumbesitzer öffnet den Raum wieder, bitte warten Sie"
4890,"Hinweis: #c0aaa1a Mini Bohnen #n können verwendet werden, um Früchte im Garten zu reifen, um einen Bonus zu erhalten und Würfel in Sammeln freizuschalten."
4891,Zum Account hinzugefügt
4892,Erfolg freischalten
4893,Unzureichende Teile
4894,"Fernkampfverteidigung: @1, verringert den Fernkampfschaden um @2%"
4895,"Elementarabwehr: @1, reduziert den erlittenen Elementarschaden um @2%"
4896,Unbekannt
4897,Aktueller Blickwinkel gesperrt
4898,Captain hat eine Truhe für dich vorbereitet
4899,@Null@
4900,Spielen
4901,Beenden
4902,"#cef2d2dViele#n stehen Schlange, um Karten herunterzuladen (@1s)"
4903,Gallerie Status (@1@2#n)
4904,Verfügbar
4905,Beschäftigt
4906,Voll
4907,@Null@
4908,"Der von dir eingegebene Aktivierungscode ist nicht korrekt, bitte überprüfe ihn."
4909,"Der Aktivierungscode ist für die aktuelle Plattform nicht verfügbar, bitte beachte die Hinweise zum Geschenkpaket."
4910,"Der Aktivierungscode ist für die aktuelle Version nicht verfügbar, bitte beachte die Hinweise zum Geschenkpaket."
4911,Diese Art von Geschenkpaket kann NUR EINMAL eingelöst werden.
4912,Der Aktivierungscode ist abgelaufen.
4913,Das Geschenkpaket ist abgelaufen.
4914,Die Anzahl der heute eingelösten Geschenkpakete hat die Obergrenze erreicht.
4915,Die Anzahl der eingelösten Geschenkpakete hat die Obergrenze erreicht.
4916,Die Anzahl der heute eingelösten Geschenkpakete hat die Obergrenze erreicht.
4917,Die Anzahl der eingelösten Geschenkpakete hat die Obergrenze erreicht.
4918,"Das Geschenkpaket ist für die aktuelle Plattform nicht verfügbar, bitte beachte die Hinweise zum Geschenkpaket."
4919,"Das Geschenkpaket ist für die aktuelle Version nicht verfügbar, bitte beachte die Hinweise zum Geschenkpaket."
4920,Du kannst diese Art von Geschenkpaket nicht mehr in Anspruch nehmen. Bitte versuche es morgen noch einmal
4921,Du kannst diese Art von Geschenkpaket nicht mehr in Anspruch nehmen.
4922,Du kannst diese Art von Geschenkpaket nicht mehr in Anspruch nehmen. Bitte versuche es morgen noch einmal
4923,Du kannst diese Art von Geschenkpaket nicht mehr in Anspruch nehmen.
4924,Falscher Aktivierungscode
4925,Dieser Aktivierungscode wurde von einem anderen Benutzer verwendet. Bitte gib einen neuen Code ein
4926,Nicht verfügbar auf dieser Plattform
4927,Die Anzahl der eingelösten Geschenkpakete hat die Obergrenze erreicht.
4928,Mit Hilfe von Mini Kapitän. Du kannst dieses Abenteuer #c0aaa1a ohne zu bezahlen fortsetzen!
4929,Mini Kapitän hat ein kleines Geschenk für dich vorbereitet
4930,Geschenkpaket einlösen
4931,Aktualisieren
4932,Gratis aktualisieren
4933,Gratis erhalten
4934,Bestätigung der Netzwerkumgebung
4935,Du bist gerade mit dem mobilen Datennetz verbunden. Das Ansehen von Anzeigen verbraucht mobile Daten. Willst du wirklich weitermachen?
4936,Jetzt gleich
4937,Einmal
4938,1: Grundeinstellungen
4939,Schiebe\n #cFFFFFFvorwärts#n
4940,#cFFFFFFMaus schieben#n
4941,Links
4942,Rechts
4943,Zurück
4944,(Linke Maustaste)Angriff/Vernichten
4945,(Rechte Maustaste)Platzieren
4946,Blickwinkel\n Rotieren
4947,Blickwinkel\nRotieren
4948,2: Erweiterte Einstellungen
4949,(B) zum Öffnen des Rucksacks
4950,Schnellslot von 1 - 8
4951,(Linke Maustaste) Item auswählen
4952,(Rechte Maustaste) Item verwenden
4953,3: Sonstig
4954,zum Umblättern
4955,Tippe F3 für Hilfe
4956,"Tippe Esc, um zu überspringen"
4957,"Tippe Leertaste, um fortzufahren"
4958,Tastaturkürzel (Standard)
4959,"#c1affda[~]#cbdefe7 Umschalten zwischen Ziel und Maus 
#c1affda[linke Maustaste]#cbdefe7 Angriff/Vernichten 
#c1affda[rechte Maustaste]#cbdefe7 Platzieren/Reden mit NPC 
#c1affda[Mausrad]#cbdefe7 Wähle ein Item aus den Slots 
#c1affda[Maus]#cbdefe7 Blickwinkel ändern 
#c1affda[W A S D]#cbdefe7 Vorwärts Links Rechts Zurück 
#cfae52f[L-Umschalt]#cefe2bd Sschleichen,Absetzen,Absteogem
#cfae52f[Leerzeichen]#cefe2bd Springen,Oben(Fliegen,Schwimmen) 
#cfae52f[Doppeltes Leerzeichen]#cefe2bd Fliegen(Erstellungsmodus)"
4960,Rolle auswählen
4961,Fortfahren
4962,Leertaste drücken
4963,Überspringen
4964,Neue Mission
4965,Geteilt
4966,"#cfae52f[1~8]#cefe2bd Schnellzugriffsleiste von 1 - 8 
#cfae52f[L-Strg]#cefe2bd Sprinten
#cfae52f[B]#cefe2bd Rücksack öffnen/schließen 
#cfae52f[G]#cefe2bd Item abwerfen
#cf1cfff[ESC]#n Einstellungen öffnen/schließen 
#cf1cfff[Tab]#n Freundesliste 
#cf1cfff[J]#n Regel für den Benutzerdefinierten Modus 
#cf1cfff[V]#n Rucksack organisieren 
#cf1cfff[F1]#n Hilfe"
4967,"#cf1cfff[F2]#n Start/Ende Datensatz
#cf1cfff[F5]#n Ansicht ändern
#cf1cfff[F9]#n Benutzeroberfläche ausblenden
#cf1cfff[F10]#n Bildschirmfoto
#cf1cfff[F11]#n Vollbild
#cf1cfff[C]#n Status überprüfen
#cf1cfff[Enter]#n Plaudern
#cf1cfff[R]#n Neu laden
#cf1cfff[H]#n Berg beschwören
"
4968,"#cf1cfff[M]#n Karte 
#cf1cfff[L]#n Erfolg 
#cf1cfff[I]#n Lager 
#cf1cfff[O]#n Ankleiden 
#cf1cfff[P]#n Shop 
#cf1cfff[[]#n Stimme
#cf1cfff[F]#n Freunde
#cf1cfff[X]#nBewegungen
#cf1cfff [Y] #n-Ressourcenbibliothek"
4969,Diese benutzerdefinierte Karte wurde zurückgesetzt. Alle Berechtigungen sind ungültig
4970,Mehr Karten
4971,"Du wirst zur Gallerie#r#c0aaa1a gebracht, wo es viele lustige Karten gibt#n"
4972,Konnte die Anzeige zu schaffen. Keine Belohnung.
4973,Fehler bei Anzeigenkonfiguration
4974,Fruchtreifezeit verkürzt sich @1
4975,m
4976,s
4977,Die Anzeige ist nicht bereit.
4978,"Freimodus entdeckt. Wir empfehlen, das Archiv zu #c0aaa1asichern#n, um Schäden zu vermeiden. Möchtest du es sichern und jetzt einen Raum erstellen?"
4979,Beschleunigen
4980,Die Anzeigen sind noch nicht vorbereitet.
4981,Erlaubnis anfordern
4982,Der Hausbesitzer hat die Anfrage erhalten. Bitte später versuchen
4983,Deine Anfrage wurde genehmigt.
4984,Deine Anfrage wurde abgelehnt.
4985,"Vielleicht telefoniert der Hausbesitzer oder so, bitte warten Sie"
4986,@Null@
4987,@Null@
4988,@Null@
4989,@Null@
4990,@Null@
4991,@Null@
4992,@Null@
4993,@Null@
4994,ablehnen
4995,annehmen
4996,Erlaubnis anfordern
4997,#RBesucher
4998,Frei
4999,Zugriff:
5000,Plattformwechsel nicht möglich. Bitte gehe zu #c0aaa1a@1#n und lade unser Spiel herunter.
5001,@Null@
5002,@Null@
5003,@Null@
5004,@Null@
5005,@Null@
5006,@Null@
5007,@Null@
5008,@Null@
5009,@Null@
5010,@Null@
5011,@Null@
5012,@Null@
5013,@Null@
5014,@Null@
5015,@Null@
5016,@Null@
5017,@Null@
5018,@Null@
5019,@Null@
5020,@Null@
5021,@Null@
5022,@Null@
5023,@Null@
5024,@Null@
5025,@Null@
5026,@Null@
5027,@Null@
5028,@Null@
5029,@Null@
5030,@Null@
5031,@Null@
5032,@Null@
5033,@Null@
5034,@Null@
5035,@Null@
5036,@Null@
5037,@Null@
5038,@Null@
5039,@Null@
5040,@Null@
5041,@Null@
5042,@Null@
5043,Google
5044,@Null@
5045,@Null@
5046,@Null@
5047,@Null@
5048,@Null@
5049,@Null@
5050,@Null@
5051,@Null@
5052,@Null@
5053,@Null@
5054,@Null@
5055,@Null@
5056,@Null@
5057,@Null@
5058,@Null@
5059,@Null@
5060,@Null@
5061,@Null@
5062,@Null@
5063,@Null@
5064,@Null@
5065,@Null@
5066,@Null@
5067,@Null@
5068,@Null@
5069,@Null@
5070,@Null@
5071,@Null@
5072,@Null@
5073,@Null@
5074,@Null@
5075,@Null@
5076,@Null@
5077,@Null@
5078,@Null@
5079,@Null@
5080,@Null@
5081,@Null@
5082,@Null@
5083,@Null@
5084,@Null@
5085,@Null@
5086,@Null@
5087,@Null@
5088,@Null@
5089,@Null@
5090,@Null@
5091,@Null@
5092,@Null@
5093,@Null@
5094,@Null@
5095,@Null@
5096,@Null@
5097,@Null@
5098,@Null@
5099,@Null@
5100,@Null@
5101,@Null@
5102,@Null@
5103,@Null@
5104,@Null@
5105,@Null@
5106,@Null@
5107,@Null@
5108,@Null@
5109,@Null@
5110,@Null@
5111,@Null@
5112,@Null@
5113,@Null@
5114,@Null@
5115,@Null@
5116,@Null@
5117,@Null@
5118,@Null@
5119,@Null@
5120,@Null@
5121,@Null@
5122,@Null@
5123,@Null@
5124,@Null@
5125,@Null@
5126,@Null@
5127,@Null@
5128,@Null@
5129,@Null@
5130,@Null@
5131,@Null@
5132,@Null@
5133,@Null@
5134,@Null@
5135,@Null@
5136,@Null@
5137,@Null@
5138,@Null@
5139,@Null@
5140,@Null@
5141,@Null@
5142,@Null@
5143,@Null@
5144,@Null@
5145,@Null@
5146,@Null@
5147,@Null@
5148,@Null@
5149,@Null@
5150,@Null@
5151,@Null@
5152,@Null@
5153,@Null@
5154,@Null@
5155,@Null@
5156,@Null@
5157,@Null@
5158,@Null@
5159,@Null@
5160,@Null@
5161,@Null@
5162,@Null@
5163,@Null@
5164,@Null@
5165,@Null@
5166,@Null@
5167,@Null@
5168,@Null@
5169,@Null@
5170,@Null@
5171,@Null@
5172,@Null@
5173,@Null@
5174,@Null@
5175,@Null@
5176,@Null@
