id,西班牙语
4077,Toca para añadir un plugin.
4078,Entendido
4079,Se ha añadido correctamente.
4080,Correo elec.
4081,Selecciona un Correo elec.
4082,Desde la miniautoridad
4083,Recibir
4084,Ir
4085,Conexión de red inestable. Vuelve a intentarlo más tarde.
4086,Validez:
4087,Z
4088,horas
4089,Error al recibir. Inténtalo de nuevo más tarde.
4090,Recibir objetos por correo
4091,Recibido
4092,No hay correos.
4093,Nuevo
4094,Añadir
4095,Reiniciar para que el plugin cargado surta efecto.
4096,Plugin seleccionado: @1 y el paquete de plugins: @2
4097,Confirmar
4098,Toca O para seleccionar un plugin para cargar.
4099,Plugin: @1
4100,Paquete Plugin: @1
4101,Plugins cargados
4102,Iniciar juego
4130,Herramientas
4131,Armas
4132,Otras categorías
4133,Equipo
4150,No
4151,Sí
4152,Cuerpo a cuerpo
4153,A distancia
4154,Explosión
4155,Criatura
4156,Cubos
4157,Biología y bloqueo
4158,Toca Disparar
4159,Explosión
4200,Resistencia a explosiones
4201,"Los cubos tienen resistencia a las explosiones. Cuantos más sean, más difícil será reventar el cubo. (Por ejemplo: el suelo es 5 y la piedra es 55, por lo que la piedra es más resistente a las explosiones. -1 significa que es indestructible.)"
4202,Dureza
4203,"Tiempo necesario para recoger cubos. Cuantos más haya, más tiempo hará falta. (Por ejemplo: un tablón de madera es 3 y la piedra es 7, por lo que lleva más tiempo recoger piedras. -1 significa que es indestructible.)"
4204,Inercia de deslizamiento
4205,"Los cubos caminan por inercia. Cuantos más haya, más difícil será detenerlos. (Por ejemplo: la inercia del hielo es grande, por lo que caminar sobre él hará que se deslicen.)"
4206,Velocidad de abrasión
4207,"Los cubos adquieren velocidad de abrasión. Cuantos más haya, mayor será la velocidad de abrasión. (Por ejemplo: la madera es 1 y la hoja es 5, por lo que la hoja arderá más rápido.)"
4208,Probabilidades de arder
4209,"Cuantos más haya, más fácil será que el cubo se encienda por la proximidad de otros cubos ardientes."
4210,Intensidad de la luz
4211,"Cuando el número sea superior a 1, el cubo brillará. Cuantos más haya, más brillarán."
4300,Salud
4301,"Valor de la vida de la criatura. Cuando caiga a 0, la criatura morirá."
4302,Ataque
4303,Ataque de la criatura. 1 punto reduce 1 cuadrícula de vida del objetivo.
4304,Campo de visión
4305,"Campo de visión de la criatura. Cuanto mayor sea el valor, mayor será la distancia a la que podrá ver al objetivo. (Por ejemplo: 10 significa que la criatura puede encontrar objetivos en un radio de 10 cuadrículas.)"
4306,Número de apariciones
4307,El número máximo de criaturas del mismo tipo que aparecen cerca al mismo tiempo.
4308,Las criaturas hacen zoom
4309,"Las criaturas cambian de tamaño. Cuanto mayor sea el valor, mayor será el modelo de la criatura."
4310,Velocidad
4311,"Velocidad de movimiento de la criatura. Cuanto mayor sea el valor, más rápido se moverá. (La velocidad normal es de 400.)"
4312,Defensa cuerpo a cuerpo
4313,Por cada punto de defensa cuerpo a cuerpo se reduce un 4%el daño cuerpo a cuerpo.
4314,Armadura de largo alcance
4315,Por cada punto de defensa a distancia se reduce un 4%el daño a distancia.
4316,Armadura explosiva
4317,Por cada punto de defensa de explosión se reduce un 4%el daño por explosión.
4400,N.º máx. de acumulaciones
4401,El número máximo de accesorios que se pueden acumular en la mochila.
4402,Herramienta o no
4403,"Como herramienta que es, puede configurar las funciones y propiedades de las herramientas."
4404,Comida o no
4405,"Como comida que es, puede configurar las funciones y propiedades de la comida."
4406,Como proyectil o no
4407,"Como proyectil que es, puede configurar las funciones y propiedades de los proyectiles."
4408,Mejora de eficiencia
4409,Coeficiente de bonificación de eficiencia para recoger cubos con herramientas. Solo es efectivo en la categoría de las herramientas.
4410,Tipo de ataque
4411,Tipo de ataque de la herramienta.
4412,Daño
4413,Ataque de la herramienta. 1 punto reduce 1 cuadrícula de vida del objetivo.
4414,Durabilidad
4415,"Durabilidad de la herramienta. Cuando se reduzca a 0, la herramienta recibirá daño."
4416,gravedad
4417,"La fuerza de la gravedad de los proyectiles voladores. Cuanto menor sea el valor, más lejos volará."
4418,Velocidad de inclinación
4419,"Velocidad inicial del proyectil volador. Cuanto mayor sea el valor, más lejos volará."
4420,Atenuación de velocidad
4421,"Reducción de velocidad del proyectil volador. Cuanto menor sea el valor, más lejos volará."
4422,Reciclable
4423,Si el proyectil se puede recoger y volver a usar tras caer al suelo.
4424,Alcanzar al objetivo
4425,Controla el tipo de objetivo al que puede alcanzar el proyectil.
4426,Activar demora
4427,Cuánto tiempo necesita el proyectil para surtir efecto tras alcanzar a un objetivo.
4428,ATQ de proyectil
4429,Ataque del proyectil. 1 punto reduce 1 cuadrícula de vida del objetivo.
4430,Tipo de ataque
4431,Dos tipos de ataque del proyectil: por disparo y por explosión.
4432,Tiempo de servicio
4433,Tiempo de uso de comida.
4434,Curar saciedad
4435,El hambre ha aumentado tras su uso.
4436,Curar vigor
4437,La resistencia al hambre ha aumentado tras su uso.
4438,Recuperación de PS
4439,Se ha recuperado el valor de la vida tras su uso.
4440,Tiempo de carga
4441,Tiempo de acumulación para armas de acumulación de largo alcance.
4442,Tipo de uso
4443,"Controla cómo se usan las herramientas y surte efecto cuando el tipo de herramienta coincide con el tipo de uso.
Por ejemplo, las armas de largo alcance deberían coincidir con las armas de acumulación de largo alcance o con las armas de fuego. La manzana debería coincidir con la comida."
4444,Daño
4445,Ataque de arma de fuego. 1 punto reduce 1 cuadrícula de vida del objetivo.
4446,Intervalo de disparo
4447,"Intervalo de disparo de armas de fuego. Cuanto mayor sea el valor, menor será la velocidad de disparo continuo."
4448,Disparo continuo
4449,Controla si las armas de fuego pueden disparar de forma continuada.
4450,Balas
4451,Número de balas en un cargador. Solo puedes seguir disparando tras cambiar uno vacío.
4452,Modo Disparo
4453,Si el control de los disparos o la recarga consume balas.
4454,Munición
4455,Descripción de la munición
4456,Cantidad de Consumo
4457,Descripción de la cantidad de consumo
4458,Caída gravitatoria
4459,Descripción de la caída gravitatoria
4460,Caer Cubos
4461,Descrip. Cubos Caer
4462,Colisión
4463,"Controla si un cubo se puede atravesar: aéreo = se puede atravesar; sólido = no se puede atravesar; líquido = se puede atravesar, pero reducirá la velocidad; solo lo pueden atravesar los proyectiles."
4464,Aéreo
4465,Se puede atravesar.
4466,Sólido
4467,No se puede atravesar.
4468,Líquido
4469,"Se puede atravesar, pero reducirá la velocidad."
4470,No obstruirá a los proyectiles.
4471,Solo lo pueden atravesar los proyectiles.
4472,Sin consumo
4473,La recarga no tiene consumo.
4474,Consumo
4475,La recarga consume materiales.
4476,Disparos ilimitados
4477,Los disparos no tienen consumo.
4478,Tipo de artículo
4479,Bloquear
4480,Misc
4481,Herramientas
4482,Un conjunto de elementos
4483,Monstruos
4484,UID
4485,Arco
4486,Munición/Proyectil
4487,Equipo
4488,Arma de fuego
4489,Comida
4490,Herramientas y Proyectiles
4491,Herramientas y alimentos
4492,Bloques y alimentos
4493,@Null@
4494,@Null@
4495,@Null@
4496,@Null@
4497,@Null@
4498,@Null@
4499,@Null@
4500,No
4501,Sí
4502,Cuerpo a cuerpo
4503,A distancia
4504,Explosión
4505,Criaturas de colisión
4506,Cubos de colisión
4507,Biología y bloqueo
4508,Toca Disparar
4509,Explosión
4510,Herramientas normales
4511,Toca el cubo objetivo.
4512,Toca el cubo líquido.
4513,Toca el botón Usar.
4514,Armita Rango (Banto)
4515,Uso de la mochila
4516,Uso en el paquete
4517,Arma de largo alcance (pistola)
4518,Arma de largo alcance (pistola)
4519,La tienda está temporalmente cerrada. Vaya a Google Play Store/App Store para descargar la versión móvil.
4520,La recarga estará disponible pronto.
4521,Has estado jugando durante 2 horas.
4522,Te has agotado de tanto caminar. Descansa un poco. Se recomienda pasear con más gente en línea.
4523,Acepta primero el acuerdo de usuario para la subida de obras a la galería.
4530,Corto
4531,Medio
4532,Longitud
4533,Largo
4534,Medio
4535,Más
4536,Bajo
4537,Medio
4538,Alto
4539,Lento
4540,Medio
4541,Rápido
4542,Elige munición
4543,Defecto
4544,Personalizar
4545,Elige munición
4546,Defecto
4547,Personalizar
4548,"Consejo: el nuevo accesorio de personalización se puede encontrar haciendo clic en el paquete y, luego, en Editar en el modo Edición."
4549,Selecciona el aspecto del cubo.
4550,Número máximo para la pila
4551,Atacar costará durabilidad
4552,Tipo de herramientas
4553,Ninguna
4554,Hacha
4555,Pico
4556,Pala
4557,Cortar con tijeras
4558,@Null@
4559,@Null@
4560,@Null@
4561,@Null@
4562,@Null@
4563,Herramienta Lv.
4564,Recolectar costará durabilidad
4565,Materiales de reparación
4566,Restaurando valor
4567,Bonificación de velocidad inicial
4568,Lanzable
4569,Modo de carga
4570,Carga normal
4571,Carga máxima solamente
4572,Sin cargo
4573,Intervalo de lanzamiento
4574,Tipo de arma de fuego
4575,Pistola
4576,Pistola ametralladora
4577,Francotirador
4578,Ametralladora
4579,Escopeta
4580,@Null@
4581,@Null@
4582,@Null@
4583,@Null@
4584,@Null@
4585,Peso
4586,Atributo básico
4587,Recopilación de atributos
4588,Atributo de duración
4589,Atributo Proyectil
4590,Crear artículo personalizado
4591,Seleccione un tipo de artículo
4592,Seleccione un tipo de artículo
4593,Intervalo de lanzamiento
4594,"El tipo de arma de fuego afecta los efectos de retroceso, sonido y fuego."
4595,"El tipo de herramienta y su nivel pueden afectar los tipos de bloques que recoge, por ejemplo, pico, nivel 1 puede recolectar piedras, nivel 2 minerales de hierro, nivel 3 minerales de oro."
4596,Roto por la cosa proyectil
4597,Romper el bloque
4598,Información del modo de disparo
4599,Manual
4600,Medio Auto
4601,Total Auto
4602,Recoger
4603,"Cuando punto de hambre>=#c0aaa1a%s#n,hay una tarifa de #c0aaa1a%s#n para recoger #c0aaa1a%s#n en las proximidades"
4604,Tasa de ejecución
4605,Rango de explotación
4606,Blanco coleccionista
4607,Si el objetivo está maduro
4608,Velocidad de movimiento
4609,Detección de punto de hambre
4610,Consumo de punto de hambre
4611,Puntos
4612,Recoger
4613,"Cuando punto de hambre>=#c0aaa1a%s#n, y la cantidad de #c0aaa1a%s#n para coletar #c0aaa1a%s#n nas proximidades hasta coleccionado"
4614,Coger el blanco
4615,Sosteniendo el número
4616,Almacenamiento
4617,"Cuando el hambre>=#c0aaa1a%s#n, y en el inventario #c0aaa1a%s#n la cantidad ha terminado >=#c0aaa1a%s#n, hay una tasa de #c0aaa1a%s#n guardar en #c0aaa1a%s#n"
4618,Elemento para almacenar
4619,Número de artículo
4620,Almacenamiento objetivo
4621,Selección de contenedores
4622,@Null@
4623,@Null@
4624,@Null@
4625,@Null@
4626,Planta
4627,"Cuando punto de hambre>=#c0aaa1a%s#n,hay una tarifa de #c0aaa1a%s#n para recoger #c0aaa1a%s#n no"
4628,Bloque de destino
4629,Utilizar artículo
4630,Selección de artículo
4631,Utilizar artículo
4632,@Null@
4633,@Null@
4634,@Null@
4635,Guardia
4636,"Cuando punto de hambre>#c0aaa1a%s#n,hay una tarifa de #c0aaa1a%s#n guardia #c0aaa1a%s#n"
4637,Bloque de guardia
4638,Tomar
4639,"Cuando el hambre>=#c0aaa1a%s#n, hay una tasa de #c0aaa1a%s#n de #c0aaa1a%s#n cerca para tomar #c0aaa1a%s#n, hasta que la cantidad de espera alcance #c0aaa1a%s#n"
4640,Selecionar contenedor
4641,Tomando el artículo
4642,Cantidad de objetos
4643,Construir
4644,"Cuando punto de hambre>=#c0aaa1a%s#n,hay una tarifa de #c0aaa1a%s#n construir #c0aaa1a%s#n"
4645,Receta selecta
4646,Tiempo de construcción
4647,Receta selecta
4648,Dormir
4649,Hay una tasa de #c0aaa1a%s#n dormir en el momento de #c0aaa1a%s#n y durmiendo durará for #c0aaa1a%s#n horas
4650,Hora de acostarse
4651,Duración del sueño
4652,Ubicación
4653,Horas
4654,Hambre
4655,"Cuando el hambre<#c0aaa1a%s#n,siéntate."
4656,Detección de hambre
4657,Duración
4658,Quisquillosa
4659,Comida necesaria
4660,Selección de alimentos
4661,@Null@
4662,@Null@
4663,@Null@
4664,@Null@
4665,Comer
4666,"Cuando el hambre apunte menos que <#c0aaa1a%s#n, si hay alimentos en el inventario, come la comida, si no hay alimentos en el inventario, triste y suspiro"
4667,Quisquillosa
4668,Selección de alimentos
4669,Ataque
4670,"Cuando el hambre>#c0aaa1a%s#n,en una tasa de #c0aaa1a%s#n atacar #c0aaa1a%s#n hasta el número abajo #c0aaa1a%s#n"
4671,Seleccionar el objetivo
4672,Número
4673,Si se ha propagado
4674,Raza
4675,"Cuando el hambre >#c0aaa1a%s#n, en una tasa de #c0aaa1a%s#n alimentar #c0aaa1a%s#n con #c0aaa1a%s#n"
4676,Seleccionar destino
4677,Si el objetivo puede reproducirse
4678,Utilizar elemento
4679,Selección de elementos
4680,Utilizar elemento
4681,@Null@
4682,@Null@
4683,@Null@
4684,Selección de contenedores
4685,Contenedores
4686,Seleccionar bloque
4687,Bloque
4688,@Null@
4689,@Null@
4690," "
4691,Selección de receta
4692,Activar inmediatamente
4693,No activar
4694,Elaborar los objetos a continuación en la caja de herramientas
4699,@Null@
4700,¿Seguro que quieres eliminar estos plugins?
4701,General (todo)
4702,Superv.
4703,Creación
4704,Luchar
4705,Circuito
4706,Puzle
4707,Parkour
4708,Otros
4709,Modelos
4710,Amigos
4711,Durante la partida
4712,En línea
4713,Desconectando...
4714,UID: @1
4715,En línea
4716,Sin conexión
4717,Enviar
4718,#c49463F¡No compartas tus info. privadas y contraseñas a otros!
4719,Mini Amigos
4720,Amigos en el teléfono móvil
4721,Cerca de ti
4722,Mis Seguidos
4723,Amigos
4724,Ver
4725,Mi código QR
4726,Escáner
4727,Mensaje: @1
4728,Se ha enviado tu solicitud de amistad.
4729,Operación fallida. Vuelve a intentarlo más tarde.
4730,"Ahora, sois amigos."
4731,Borrar todo
4732,¿Seguro que quieres borrarlo todo?
4733,"Ahora, no tienes mensajes."
4734,Solicitud de amistad
4735,Minicapitán
4736,Error al enviar. Vuelve a intentarlo más tarde.
4737,Número incorrecto
4738,Seguir
4739,El usuario no existe.
4740,Ya es tu amigo.
4741,Has alcanzado el límite de amigos.
4742,Enviar
4743,Icono de infracción
4744,Contenido de la infracción publicado
4745,Denuncia realizada.
4746,Esta función estará disponible pronto.
4747,Buscar
4748,Estás a menos de @1 m.
4749,No hay jugadores cerca.
4750,Cargar más
4751,Error al iniciar.
4752,Has empezado a seguir a alguien.
4753,Has dejado de seguir de alguien.
4754,No has seguido a nadie.
4755,Dejar de seguir
4756,Ver detalles
4757,UID: no disponible
4758,¡Muchos jugadores te esperan ya en MiniWorld! http://miniworldgame.com/
4759,La lista de contactos del teléfono está vacía.
4760,Solicitud de permiso para usar la funcionalidad de los amigos del móvil. Activa el permiso en Ajustes - Aplicaciones - MiniWorld - Contactos.
4761,Solicitud de permiso para usar la funcionalidad de los contactos del móvil. Activa el permiso de los contactos en Ajustes - MiniWorld.
4762,Solicitud de permiso para usar la funcionalidad Cerca de ti. Activa el permiso en Ajustes - Aplicaciones - MiniWorld - Tu ubicación.
4763,Solicitud de permiso para usar la funcionalidad Cerca de ti. Activa el permiso de tu ubicación en Ajustes - MiniWorld.
4764,"¡Pronto habrá una nueva edición del sistema de amistad!#r#r 1. Podrás comprobar el estado de tus amigos en cualquier momento. #r#r2. Podrás añadir emoticonos a voluntad.#r#r 3. Con el escaneo del código QR, podrás añadir amigos directamente. #r#r4. Podrás añadir amigos nuevos en Cerca de ti."
4765,Ayuda
4766,¡Me ha encantado! Creo que te gustará. http://miniworldgame.com/
4767,MinWorld
4768,¡Me ha encantado! Creo que te gustará.
4769,Suspender
4770,Material
4771,Descubrir
4772,Ir a Usar
4773,Éxito al desbl.
4774,Error al desbloquear.
4775,Tus mini fríjoles no son suficientes.
4776,Textur.
4777,Textur.
4778,Empezar
4779,Textura Defecto
4780,Autoridad de MiniWorld
4781,El paquete de Textura no se ha desbloqueado. Ve a la galería para desbloquearlo.
4782,El paquete de Textur. no se ha desbloqueado. Se usará el paquete de Textur. Defecto.
4783,No puedes modificar el paquete de Textur. del Mapa descargado.
4784,Toca aquí para elegir texturas.
4785,Error al subir plugins.
4786,Personaje
4787,Skin
4788,Montar
4789,@Null@
4790,@Null@
4791,@Null@
4792,@Null@
4793,@Null@
4794,@Null@
4795,@Null@
4796,@Null@
4797,@Null@
4798,@Null@
4799,Leído
4800,Cultivos
4801,Herramientas
4802,Art. diversos
4803,Cubos
4804,Batalla
4805,Diminuto
4806,Pequeño
4807,Normal
4808,Grande
4809,Muy grande
4810,Muy lento
4811,Lento
4812,Rápido
4813,Muy rápido
4814,Corporal
4815,Media distancia
4816,A distancia
4817,Cerca
4818,Medio
4819,Lejos
4820,Preferencias de ataque
4821,Efectos secundarios de los ataques
4822,3. Equipo verde
4823,4. Equipo amarillo
4824,5. Equipo naranja
4825,6. Equipo violeta
4826,Cambiar modo de ataque
4827,@Null@
4828,@Null@
4829,@Null@
4830,@Null@
4831,@Null@
4832,@Null@
4833,Elige un grupo para esta criatura. No atacará a criaturas/jugadores del mismo grupo ni les infligirá ningún daño. El dueño de la casa pertenece al equipo rojo Defecto.
4834,@Null@
4835,@Null@
4836,@Null@
4837,@Null@
4838,Cancelar
4839,Extraer
4840,Tu cumpleaños
4841,Consejos: cuide su información personal.
4842,Esto no está disponible para usted ya que su edad es menor de 13 años
4843,Año
4844,Mes
4845,"(Ten uidado, no puede cambiar la edad después de confirmar)"
4846,No puede aplicar miniatura a cubos de terreno
4847,Fuera del plazo de evento. No se puede usar.
4848,@Null@
4849,La tienda está temporalmente cerrada.
4850,Ene
4851,Feb
4852,Mar
4853,Abr
4854,May
4855,Jun
4856,Jul
4857,Ago
4858,Sep
4859,Oct
4860,Nov
4861,Dic
4862,<
4863,@Null@
4864,@Null@
4865,@Null@
4866,Consumir @1 para canjear @2 x @3. ¿Confirmar?
4867,Mini Tesoro
4868,Poseído:
4869,Historia
4870,Veces de Canje
4871,Objeto
4872,Tiempo
4873,Cantidad
4874,Costo
4875,Confirmar Qtd
4876,Canjeable
4877,Canjear
4878,Confirmar Canje
4879,Obtener
4880,Haz tu elección.
4881,Cooldown de habilidad
4882,Inicio de sesión
4883,Salir
4884,Solicitar UID
4885,Introduce un número entero.
4886,Otra Vez
4887,Unirse
4888,El dueño de la casa te invita a jugar una partida más.
4889,El dueño de la casa está reabriendo la sala. Espera.
4890,Nota: #c0aaa1aMini Frijoles#n se pueden usar para hacer madurar frutas al instante en el Jardín y obtendrá grandes recompensas a cambio.
4891,Se ha añadido a la cuenta.
4892,Éxito al desbl.
4893,Fragmentos insufi.
4894,"Defensa a distancia: @1, reduce un @2%el daño a distancia recibido."
4895,"Defensa elemental: @1, reduce un @2%el daño elemental recibido."
4896,Desconocido
4897,Ángulo de visión actual bloqueado.
4898,Capitán preparó un baúl para usted
4899,Actualización necesaria
4900,Empezar
4901,Salir
4902,Hay #cef2d2dmucha gente#n haciendo cola para descargar Mapas (@1s).
4903,Estado de la galería (@1@2#n)
4904,Disponible
4905,Ocupada
4906,Llena
4907,@Null@
4908,El código de activación que has introducido no es correcto. Compruébalo.
4909,El código de activación no está disponible para la plataforma actual. Comprueba las instrucciones del paquete de regalos.
4910,El código de activación no está disponible para la versión actual. Comprueba las instrucciones del paquete de regalos.
4911,Este tipo de paquete de regalos se puede canjear solo una vez.
4912,El código de activación ha vencido.
4913,El paquete de regalos ha vencido.
4914,La cantidad de paquetes de regalos canjeada hoy ha alcanzado su límite máximo.
4915,La cantidad de paquetes de regalos canjeada ha alcanzado su límite máximo.
4916,La cantidad de paquetes de regalos canjeada hoy ha alcanzado su límite máximo.
4917,La cantidad de paquetes de regalos canjeada ha alcanzado su límite máximo.
4918,El paquete de regalos no está disponible para la plataforma actual. Comprueba las instrucciones del paquete de regalos.
4919,El paquete de regalos no está disponible para la versión actual. Comprueba las instrucciones del paquete de regalos.
4920,Ya no puedes reclamar este tipo de paquete de regalos. Vuelve a intentarlo mañana.
4921,Ya no puedes reclamar este tipo de paquete de regalos.
4922,Ya no puedes reclamar este tipo de paquete de regalos. Vuelve a intentarlo mañana.
4923,Ya no puedes reclamar este tipo de paquete de regalos.
4924,Código de activación incorrecto.
4925,Este código de activación ha sido utilizado por otros usuarios. Por favor introduzca uno nuevo.
4926,No disponible para esta plataforma.
4927,La cantidad de paquetes de regalos canjeada ha alcanzado su límite máximo.
4928,Con la ayuda del minicapitán. ¡Puedes continuar esta aventura #c0aaa1asin pagar#n!
4929,El minicapitán ha preparado un pequeño regalo para ti.
4930,Canjear paquete de regalos
4931,Actualizar
4932,Actualizar gratis
4933,Conseguir gratis
4934,Confirmación de entorno de red
4935,"En este momento, estás conectado a la red de datos del móvil. Si ves anuncios, se consumirán tus datos del móvil. ¿Seguro que quieres continuar?"
4936,Hazlo ahora
4937,Una vez
4938,1: Ajustes básicos
4939,Mover\n #cFFFFFFhacia delante#n
4940,#cFFFFFFDeslizar ratón#n
4941,Izquierda
4942,Derecha
4943,Atrás
4944,(Botón izquierdo del ratón) Atacar/Destruir
4945,(Botón derecho del ratón) Colocar
4946,Ángulo de visió\n Girar
4947,Ángulo de visió\nGirar
4948,2: Ajustes avanzados
4949,(B) para abrir la mochila.
4950,Ranura rápida de 1 - 8
4951,(Botón izquierdo del ratón) Seleccionar objeto
4952,(Botón derecho del ratón) Usar objeto
4953,3: Otros ajustes
4954,para girar la página
4955,Toca F3 para conseguir ayuda
4956,Toca Esc para omitir
4957,Toca la barra espaciadora para continuar
4958,Asignación de teclas (Defecto)
4959,"#c1affda[~]#cbdefe7 Cambiar entre objetivo y ratón
#c1affda[Botón izquierdo del ratón]#cbdefe7 Atacar/Destruir 
#c1affda[Botón derecho del ratón]#cbdefe7 Interacción con NPC 
#c1affda[Rueda del ratón]#cbdefe7 Elegir cosa de Ranura 
#c1affda[Ratón]#cbdefe7 Mover el ángulo de visión 
#c1affda[W A S D]#cbdefe7 Adelante Izquierda Derecha Atrás 
#cfae52f[Mayús Izq]#cefe2bd Sigilo, Desmontar,Bajar
#cfae52f[Espacio]#cefe2bd Saltar, Arriba (Volar,Nadar) 
#cfae52f[Doble espacio]#cefe2bd Volar (modo Creación）"
4960,Selecciona un personaje
4961,Continuar
4962,Toca la barra espaciadora.
4963,Omitir
4964,Nueva misión
4965,Compartido
4966,"#cfae52f[1~8]#cefe2bd Ranura rápida de 1 - 8 
#cfae52f[Ctrl Izq]#cefe2bd Esprint
#cfae52f[B]#cefe2bd Abrir/Cerrar mochila 
#cfae52f[G]#cefe2bd Lanzar objeto
#cf1cfff[ESC]#n Abrir/Cerrar ajustes 
#cf1cfff[Tab]#n Lista de amigos 
#cf1cfff[J]#n Regla de modo Personalización 
#cf1cfff[V]#n Organizar la mochila
#cf1cfff[F1]#n Ayuda"
4967,"#cf1cfff[F2]#n Inicio/Terminar Grabación
#cf1cfff[F5]#n Cambiar la vista 
#cf1cfff[F9]#n Esconder UI 
#cf1cfff[F10]#n Screenshot
#cf1cfff[F11]#n Pantalla completa
#cf1cfff[C]#n Comprobar el estado
#cf1cfff[Enter]#n Chat 
#cf1cfff[R]#n Recargar 
#cf1cfff[H]#n Invocar Montura"
4968,"#cf1cfff[M]#n Mapas
#cf1cfff[L]#n Logros
#cf1cfff[I]#n Paquete
#cf1cfff[O]#n Skin
#cf1cfff[P]#n Tienda
#cf1cfff[[]#n Charlar Voz
#cf1cfff[F]#n Amigos
#cf1cfff[X]#n Gestos
#cf1cfff[Y]#n Biblioteca Recurso"
4969,Este Mapa personalizado se ha restablecido. Todos los permisos son inválidos.
4970,Más Mapas
4971,"Irás a la galería,#r#c0aaa1adonde hay muchos Mapas divertidos.#n"
4972,Error al mostrar el anuncio. No Recompensa.
4973,Error al configurar los anuncios.
4974,El tiempo de maduración de las frutas se reduce @1
4975,m
4976,m
4977,Este anuncio está preparado.
4978,Modo libre detectado. Recomendamos que #c0aaa1ahacer copia de seguridad#n en el archivo para evitar daños potenciales. ¿Quieres hacerlo ahora?
4979,Acelerar
4980,Los anuncios aún no están preparados.
4981,Solicitar permiso
4982,El dueño de la casa ha recibido tu solicitud. Inténtalo más tarde.
4983,Tu solicitud ha sido aprobada.
4984,Tu solicitud ha sido rechazada.
4985,"El dueño está ocupado por otra cosa, espere un momento."
4986,@Null@
4987,@Null@
4988,@Null@
4989,@Null@
4990,@Null@
4991,@Null@
4992,@Null@
4993,@Null@
4994,rechazar
4995,adoptar
4996,Solicitar permiso
4997,#RVisitante
4998,Gratis
4999,Acceso:
5000,No se puede cambiar de plataforma. Ve a #c0aaa1a@1#n y descarga nuestro juego.
5001,@Null@
5002,@Null@
5003,@Null@
5004,@Null@
5005,@Null@
5006,@Null@
5007,@Null@
5008,@Null@
5009,@Null@
5010,@Null@
5011,@Null@
5012,@Null@
5013,@Null@
5014,@Null@
5015,@Null@
5016,@Null@
5017,@Null@
5018,@Null@
5019,@Null@
5020,@Null@
5021,@Null@
5022,@Null@
5023,@Null@
5024,@Null@
5025,@Null@
5026,@Null@
5027,@Null@
5028,@Null@
5029,@Null@
5030,@Null@
5031,@Null@
5032,@Null@
5033,@Null@
5034,@Null@
5035,@Null@
5036,@Null@
5037,@Null@
5038,@Null@
5039,@Null@
5040,@Null@
5041,@Null@
5042,@Null@
5043,Google
5044,@Null@
5045,@Null@
5046,@Null@
5047,@Null@
5048,@Null@
5049,@Null@
5050,@Null@
5051,@Null@
5052,@Null@
5053,@Null@
5054,@Null@
5055,@Null@
5056,@Null@
5057,@Null@
5058,@Null@
5059,@Null@
5060,@Null@
5061,@Null@
5062,@Null@
5063,@Null@
5064,@Null@
5065,@Null@
5066,@Null@
5067,@Null@
5068,@Null@
5069,@Null@
5070,@Null@
5071,@Null@
5072,@Null@
5073,@Null@
5074,@Null@
5075,@Null@
5076,@Null@
5077,@Null@
5078,@Null@
5079,@Null@
5080,@Null@
5081,@Null@
5082,@Null@
5083,@Null@
5084,@Null@
5085,@Null@
5086,@Null@
5087,@Null@
5088,@Null@
5089,@Null@
5090,@Null@
5091,@Null@
5092,@Null@
5093,@Null@
5094,@Null@
5095,@Null@
5096,@Null@
5097,@Null@
5098,@Null@
5099,@Null@
5100,@Null@
5101,@Null@
5102,@Null@
5103,@Null@
5104,@Null@
5105,@Null@
5106,@Null@
5107,@Null@
5108,@Null@
5109,@Null@
5110,@Null@
5111,@Null@
5112,@Null@
5113,@Null@
5114,@Null@
5115,@Null@
5116,@Null@
5117,@Null@
5118,@Null@
5119,@Null@
5120,@Null@
5121,@Null@
5122,@Null@
5123,@Null@
5124,@Null@
5125,@Null@
5126,@Null@
5127,@Null@
5128,@Null@
5129,@Null@
5130,@Null@
5131,@Null@
5132,@Null@
5133,@Null@
5134,@Null@
5135,@Null@
5136,@Null@
5137,@Null@
5138,@Null@
5139,@Null@
5140,@Null@
5141,@Null@
5142,@Null@
5143,@Null@
5144,@Null@
5145,@Null@
5146,@Null@
5147,@Null@
5148,@Null@
5149,@Null@
5150,@Null@
5151,@Null@
5152,@Null@
5153,@Null@
5154,@Null@
5155,@Null@
5156,@Null@
5157,@Null@
5158,@Null@
5159,@Null@
5160,@Null@
5161,@Null@
5162,@Null@
5163,@Null@
5164,@Null@
5165,@Null@
5166,@Null@
5167,@Null@
5168,@Null@
5169,@Null@
5170,@Null@
5171,@Null@
5172,@Null@
5173,@Null@
5174,@Null@
5175,@Null@
5176,@Null@
5177,@Null@
5178,@Null@
5179,@Null@
5180,@Null@
5181,@Null@
5182,@Null@
5183,@Null@
5184,@Null@
5185,@Null@
5186,@Null@
5187,@Null@
5188,@Null@
5189,@Null@
5190,@Null@
5191,@Null@
5192,@Null@
5193,@Null@
5194,@Null@
5195,@Null@
5196,@Null@
5197,@Null@
5198,@Null@
5199,@Null@
5200,@Null@
5201,Datos de consulta
5202,Continuar
5203,(Introduce tu Correo elec.)
5204,@Null@
5205,@Null@
5206,@Null@
5207,@Null@
5208,@Null@
5209,@Null@
